Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,32646357,flow rate,"Samples were eluted from the column at the flow rate of 1.4 mL/min using a mobile phase containing 0.2% triethylamine in water (pH 3.4 with formic acid): acetonitrile (45:55, v/v).",Simple and Fast Determination of Terbinafine in Human Urine by Dilute and Shoot HPLC-DAD Using a Core-Shell Column. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32646357/),[ml] / [min],1.4,4144,DB00857,Terbinafine
,32646357,limit of detection,The limit of detection was 12.60 ng/mL.,Simple and Fast Determination of Terbinafine in Human Urine by Dilute and Shoot HPLC-DAD Using a Core-Shell Column. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32646357/),[ng] / [ml],12.60,4145,DB00857,Terbinafine
,17124578,peak plasma concentration (C(max)),"Compared with the placebo, terbinafine treatment significantly increased the peak plasma concentration (C(max)) of paroxetine, by 1.9-fold (6.4 +/- 2.4 versus 12.1 +/- 2.9 ng/ml, p < 0.001), and the area under the plasma concentration-time curve from zero to 48 h [AUC (0-48)] of paroxetine by 2.5-fold (127 +/- 67 vs 318 +/- 102 ng/ml, p < 0.001).",Terbinafine increases the plasma concentration of paroxetine after a single oral administration of paroxetine in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17124578/),[ng] / [ml],6.4,5419,DB00857,Terbinafine
,17124578,peak plasma concentration (C(max)),"Compared with the placebo, terbinafine treatment significantly increased the peak plasma concentration (C(max)) of paroxetine, by 1.9-fold (6.4 +/- 2.4 versus 12.1 +/- 2.9 ng/ml, p < 0.001), and the area under the plasma concentration-time curve from zero to 48 h [AUC (0-48)] of paroxetine by 2.5-fold (127 +/- 67 vs 318 +/- 102 ng/ml, p < 0.001).",Terbinafine increases the plasma concentration of paroxetine after a single oral administration of paroxetine in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17124578/),[ng] / [ml],12.1,5420,DB00857,Terbinafine
,17124578,area under the plasma concentration-time curve from zero to 48 h [AUC (0-48)],"Compared with the placebo, terbinafine treatment significantly increased the peak plasma concentration (C(max)) of paroxetine, by 1.9-fold (6.4 +/- 2.4 versus 12.1 +/- 2.9 ng/ml, p < 0.001), and the area under the plasma concentration-time curve from zero to 48 h [AUC (0-48)] of paroxetine by 2.5-fold (127 +/- 67 vs 318 +/- 102 ng/ml, p < 0.001).",Terbinafine increases the plasma concentration of paroxetine after a single oral administration of paroxetine in healthy subjects. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17124578/),[ng] / [ml],127,5421,DB00857,Terbinafine
,17124578,area under the plasma concentration-time curve from zero to 48 h [AUC (0-48)],"Compared with the placebo, terbinafine treatment significantly increased the peak plasma concentration (C(max)) of paroxetine, by 1.9-fold (6.4 +/- 2.4 versus 12.1 +/- 2.9 ng/ml, p < 0.001), and the area under the plasma concentration-time curve from zero to 48 h [AUC (0-48)] of paroxetine by 2.5-fold (127 +/- 67 vs 318 +/- 102 ng/ml, p < 0.001).",Terbinafine increases the plasma concentration of paroxetine after a single oral administration of paroxetine in healthy subjects. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17124578/),[ng] / [ml],318,5422,DB00857,Terbinafine
,17124578,Elimination half-life,"Elimination half-life differed significantly (15.3 +/- 2.4 vs 22.7 +/- 8.8 h, p < 0.05), although the magnitude of alteration (1.4-fold) was smaller than C(max )or AUC.",Terbinafine increases the plasma concentration of paroxetine after a single oral administration of paroxetine in healthy subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17124578/),h,15.3,5423,DB00857,Terbinafine
,17124578,Elimination half-life,"Elimination half-life differed significantly (15.3 +/- 2.4 vs 22.7 +/- 8.8 h, p < 0.05), although the magnitude of alteration (1.4-fold) was smaller than C(max )or AUC.",Terbinafine increases the plasma concentration of paroxetine after a single oral administration of paroxetine in healthy subjects. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/17124578/),h,22.7,5424,DB00857,Terbinafine
,23718650,maximum concentration,"After oral administration of terbinafine, the maximum concentration for the remaining 5 fed birds ranged from 109 to 671 ng/mL, half-life ranged from 6 to 13.5 hours, and time to the maximum concentration ranged from 2 to 8 hours.",Pharmacokinetics of terbinafine after oral administration of a single dose to Hispaniolan Amazon parrots (Amazona ventralis). ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23718650/),[ng] / [ml],109 to 671,11284,DB00857,Terbinafine
,23718650,half-life,"After oral administration of terbinafine, the maximum concentration for the remaining 5 fed birds ranged from 109 to 671 ng/mL, half-life ranged from 6 to 13.5 hours, and time to the maximum concentration ranged from 2 to 8 hours.",Pharmacokinetics of terbinafine after oral administration of a single dose to Hispaniolan Amazon parrots (Amazona ventralis). ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23718650/),h,6 to 13.5,11285,DB00857,Terbinafine
