Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,21632965,oral clearance,"The predicted oral clearance values of the drugs investigated ranged from 8.79 to 6320 l/h for tacrolimus and simvastatin, respectively, and were overall within 3-fold of the observed data with the exception of indinavir, atorvastatin, and buspirone.",Physiologically based pharmacokinetic modeling of intestinal first-pass metabolism of CYP3A substrates with high intestinal extraction. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21632965/),[l] / [h],8.79 to 6320,1970,DB00342,Terfenadine
,21632965,CLu(int),"The individual HJM CLu(int) values ranged from 17 to 14,000 μl · min(-1) · mg(-1) for atorvastatin and saquinavir, respectively, and corresponding interindividual variability in CLu(int) estimates ranged from 41 to 67%.",Physiologically based pharmacokinetic modeling of intestinal first-pass metabolism of CYP3A substrates with high intestinal extraction. ,CLu-Q24,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21632965/),[μl] / [mg·min],"17 to 14,000",1971,DB00342,Terfenadine
,21632965,F(G),"These in vitro data resulted in predicted F(G) values ranging from 0.03 to 0.94 for simvastatin and indinavir, respectively.",Physiologically based pharmacokinetic modeling of intestinal first-pass metabolism of CYP3A substrates with high intestinal extraction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21632965/),,0,1972,DB00342,Terfenadine
,10496299,absolute bioavailability,It is rapidly absorbed with an absolute bioavailability of between 40 and 50%.,Clinical pharmacokinetics of troglitazone. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10496299/),%,40 and 50,2272,DB00342,Terfenadine
,10496299,elimination half-life,"The mean elimination half-life ranges from 7.6 to 24 hours, which facilitates a once daily administration regimen.",Clinical pharmacokinetics of troglitazone. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10496299/),h,7.6 to 24,2273,DB00342,Terfenadine
,9232548,EC50,"Terfenadine prolonged the QT interval in an infusion-rate-dependent manner, its EC50 value was 792-1039 ng mL-1.",A comparative pharmacokinetic-pharmacodynamic study of the electrocardiographic effects of epinastine and terfenadine in rats. ,EC50-Q16,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9232548/),[ng] / [ml],792-1039,4936,DB00342,Terfenadine
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[ng] / [ml],53.9,5277,DB00342,Terfenadine
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[ng] / [ml],90.7,5278,DB00342,Terfenadine
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[ng] / [ml],16.5,5279,DB00342,Terfenadine
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[ng] / [ml],20.0,5280,DB00342,Terfenadine
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[pg] / [ml],80.8,5281,DB00342,Terfenadine
,18299336,C(max),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[pg] / [ml],101,5282,DB00342,Terfenadine
,18299336,AUC(0-8),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[h·ng] / [ml],263,5283,DB00342,Terfenadine
,18299336,AUC(0-8),"The C(max) was 53.9 +/- 13.1 and 90.7 +/- 23.1 ng/ml for fexofenadine, 16.5 +/- 3.4 and 20.0 +/- 7.9 ng/ml for quinidine, and 80.8 +/- 9.0 and 101 +/- 15 pg/ml for loperamide, and the AUC(0-8) was 263 +/- 62 and 435 +/- 95 ng x h/ml for fexofenadine, 54.5 +/- 11.5 and 75.7 +/- 21.8 ng x h/ml for quinidine, and 467 +/- 85 and 556 +/- 91 pg x h/ml for loperamide in homozygous wild-type and homozygous mutated dogs, respectively.","Modest effect of impaired P-glycoprotein on the plasma concentrations of fexofenadine, quinidine, and loperamide following oral administration in collies. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18299336/),[h·ng] / [ml],435,5284,DB00342,Terfenadine
