Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1246013,clearance,"For TEA, clearance (1.5 ml/min-g +/- 0.2 S.E.M.) and extraction (E) (0.83 +/- 0.02) are independent of the degree of azotemia.",Effect of experimental azotemia on renal clearance of furosemide in the dog. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),[ml] / [min-g],1.5,4146,DB08837,Tetraethylammonium
,1246013,extraction (E),"For TEA, clearance (1.5 ml/min-g +/- 0.2 S.E.M.) and extraction (E) (0.83 +/- 0.02) are independent of the degree of azotemia.",Effect of experimental azotemia on renal clearance of furosemide in the dog. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),,0.83,4147,DB08837,Tetraethylammonium
,1246013,Renal plasma flow (RPF),"Renal plasma flow (RPF), calculated as CTEA/ETEA, agreed closely with directly measured RPF (2.0 ml/g-min +/- 0.3).",Effect of experimental azotemia on renal clearance of furosemide in the dog. ,FR-Q43,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),[ml] / [g-min],2.0,4148,DB08837,Tetraethylammonium
,1246013,CF,CF (1.07-0.17 ml/min-g) and EF (0.54-0.06) decreased as a linear function of the increase in uremic serum: (see article).,Effect of experimental azotemia on renal clearance of furosemide in the dog. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),[ml] / [min-g],1.07-0.17,4149,DB08837,Tetraethylammonium
,1246013,E,CF (1.07-0.17 ml/min-g) and EF (0.54-0.06) decreased as a linear function of the increase in uremic serum: (see article).,Effect of experimental azotemia on renal clearance of furosemide in the dog. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1246013/),,0.54-0.06,4150,DB08837,Tetraethylammonium
,7711446,Elimination constant,"Elimination constant was higher for inulin than for ADH (0.049 +/- 0.001 vs. 0.020 +/- 0.003 min-1, respectively), suggesting reabsorption of the hormone.",Participation of the kidney in the kinetics of arginine vasopressin in the water-loaded rat. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7711446/),1/[min],0.049,23531,DB08837,Tetraethylammonium
,7711446,Elimination constant,"Elimination constant was higher for inulin than for ADH (0.049 +/- 0.001 vs. 0.020 +/- 0.003 min-1, respectively), suggesting reabsorption of the hormone.",Participation of the kidney in the kinetics of arginine vasopressin in the water-loaded rat. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7711446/),1/[min],0.020,23532,DB08837,Tetraethylammonium
,28499878,Km,"From in vitro experiments, we found that sulpiride is a substrate of hOCT1 (Km 2.6 μM), hOCT2 (Km 68 μM), hMATE1 (Km 40 μM), and hMATE2-K (Km 60 μM).","Possible Role of Organic Cation Transporters in the Distribution of [11C]Sulpiride, a Dopamine D2 Receptor Antagonist. ",Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28499878/),μM,2.6,25394,DB08837,Tetraethylammonium
,28499878,Km,"From in vitro experiments, we found that sulpiride is a substrate of hOCT1 (Km 2.6 μM), hOCT2 (Km 68 μM), hMATE1 (Km 40 μM), and hMATE2-K (Km 60 μM).","Possible Role of Organic Cation Transporters in the Distribution of [11C]Sulpiride, a Dopamine D2 Receptor Antagonist. ",Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28499878/),μM,68,25395,DB08837,Tetraethylammonium
,28499878,Km,"From in vitro experiments, we found that sulpiride is a substrate of hOCT1 (Km 2.6 μM), hOCT2 (Km 68 μM), hMATE1 (Km 40 μM), and hMATE2-K (Km 60 μM).","Possible Role of Organic Cation Transporters in the Distribution of [11C]Sulpiride, a Dopamine D2 Receptor Antagonist. ",Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28499878/),μM,40,25396,DB08837,Tetraethylammonium
