Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9774951,peak concentrations,"Intravenous injection of 200 mg FH4 or CH2FH4 resulted in average peak concentrations of 69.2 +/- 3.2 nmol/ml and 46.3 +/- 2.6 nmol/ml, respectively.",Chemical stability and human plasma pharmacokinetics of reduced folates. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9774951/),[nM] / [ml],69.2,30765,DB00116,Tetrahydrofolic acid
,9774951,peak concentrations,"Intravenous injection of 200 mg FH4 or CH2FH4 resulted in average peak concentrations of 69.2 +/- 3.2 nmol/ml and 46.3 +/- 2.6 nmol/ml, respectively.",Chemical stability and human plasma pharmacokinetics of reduced folates. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9774951/),[nM] / [ml],46.3,30766,DB00116,Tetrahydrofolic acid
,8185345,minimum effective dose,"Clinically, the minimum effective dose of cisplatin as a modulator was thought to be 10-20 mg/body judging from experimental as well as clinical kinetic study of cisplatin.",[Pharmacokinetics and changes of reduced folate levels in tumor after administration of cisplatin]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8185345/),[mg] / [body],10-20,38946,DB00116,Tetrahydrofolic acid
,10663632,terminal half-life,"The pharmacokinetic parameters obtained for (-)-fTHF following the administration of (-)-fTHF only were: terminal half-life, 1.2 h; area under the curve, 10 microg.",Impact of the simultaneous administration of the (+)- and (-)-forms of formyl-tetrahydrofolic acid on plasma and intracellular pharmacokinetics of (-)-tetrahydrofolic acid. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10663632/),h,1.2,52545,DB00116,Tetrahydrofolic acid
,10663632,area under the curve,"The pharmacokinetic parameters obtained for (-)-fTHF following the administration of (-)-fTHF only were: terminal half-life, 1.2 h; area under the curve, 10 microg.",Impact of the simultaneous administration of the (+)- and (-)-forms of formyl-tetrahydrofolic acid on plasma and intracellular pharmacokinetics of (-)-tetrahydrofolic acid. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10663632/),μg,10,52546,DB00116,Tetrahydrofolic acid
,10663632,maximum concentration,"h/ml; maximum concentration, 12 microg/ml; clearance, 305 ml/min; volume of distribution, 19 l.",Impact of the simultaneous administration of the (+)- and (-)-forms of formyl-tetrahydrofolic acid on plasma and intracellular pharmacokinetics of (-)-tetrahydrofolic acid. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10663632/),[μg] / [ml],12,52547,DB00116,Tetrahydrofolic acid
,10663632,clearance,"h/ml; maximum concentration, 12 microg/ml; clearance, 305 ml/min; volume of distribution, 19 l.",Impact of the simultaneous administration of the (+)- and (-)-forms of formyl-tetrahydrofolic acid on plasma and intracellular pharmacokinetics of (-)-tetrahydrofolic acid. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10663632/),[ml] / [min],305,52548,DB00116,Tetrahydrofolic acid
,10663632,volume of distribution,"h/ml; maximum concentration, 12 microg/ml; clearance, 305 ml/min; volume of distribution, 19 l.",Impact of the simultaneous administration of the (+)- and (-)-forms of formyl-tetrahydrofolic acid on plasma and intracellular pharmacokinetics of (-)-tetrahydrofolic acid. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10663632/),l,19,52549,DB00116,Tetrahydrofolic acid
,3260621,peak plasma concentration,"Following the two-hour infusion of dl-CF, mean peak plasma concentration and elimination half-life of I-5-formyltetrahydrofolic acid (I-CF) were 24 +/- 6 mumol/L and 0.8 +/- 0.1 hour, respectively.",Plasma and tumor tissue pharmacology of high-dose intravenous leucovorin calcium in combination with fluorouracil in patients with advanced colorectal carcinoma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3260621/),[μM] / [l],24,151438,DB00116,Tetrahydrofolic acid
,3260621,elimination half-life,"Following the two-hour infusion of dl-CF, mean peak plasma concentration and elimination half-life of I-5-formyltetrahydrofolic acid (I-CF) were 24 +/- 6 mumol/L and 0.8 +/- 0.1 hour, respectively.",Plasma and tumor tissue pharmacology of high-dose intravenous leucovorin calcium in combination with fluorouracil in patients with advanced colorectal carcinoma. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3260621/),h,0.8,151439,DB00116,Tetrahydrofolic acid
