Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2597363,Concentration,Concentration of plasma AVP increased slightly from 3.8 +/- 1.5 pg/ml after induction and increased 3-fold after sternotomy.,Responses of vasopressin release in patients with cardiopulmonary bypass anesthetized with enflurane and morphine. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2597363/),[pg] / [ml],3.8,344,DB00599,Thiopental
,9357892,steady state volume of distribution,"The human pharmacokinetic model is characterized by a steady state volume of distribution of 2.2 l/kg, an elimination clearance of 0.22 l/min, and a terminal half-life of 9 h.",Computer simulation of the effects of alterations in blood flows and body composition on thiopental pharmacokinetics in humans. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9357892/),[l] / [kg],2.2,2978,DB00599,Thiopental
,9357892,elimination clearance,"The human pharmacokinetic model is characterized by a steady state volume of distribution of 2.2 l/kg, an elimination clearance of 0.22 l/min, and a terminal half-life of 9 h.",Computer simulation of the effects of alterations in blood flows and body composition on thiopental pharmacokinetics in humans. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9357892/),[l] / [min],0.22,2979,DB00599,Thiopental
,9357892,terminal half-life,"The human pharmacokinetic model is characterized by a steady state volume of distribution of 2.2 l/kg, an elimination clearance of 0.22 l/min, and a terminal half-life of 9 h.",Computer simulation of the effects of alterations in blood flows and body composition on thiopental pharmacokinetics in humans. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9357892/),h,9,2980,DB00599,Thiopental
,9357892,peak arterial concentrations,"Greater peak arterial concentrations are predicted in subjects with a low versus a high cardiac output (3.1 and 9.4 l/min), and in subjects who are lean versus obese (56 and 135 kg).",Computer simulation of the effects of alterations in blood flows and body composition on thiopental pharmacokinetics in humans. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9357892/),[l] / [min],3.1,2981,DB00599,Thiopental
,9357892,peak arterial concentrations,"Greater peak arterial concentrations are predicted in subjects with a low versus a high cardiac output (3.1 and 9.4 l/min), and in subjects who are lean versus obese (56 and 135 kg).",Computer simulation of the effects of alterations in blood flows and body composition on thiopental pharmacokinetics in humans. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9357892/),[l] / [min],9.4,2982,DB00599,Thiopental
,8678276,Peak serum IFCs,Peak serum IFCs were higher with sevoflurane (34.5 mumol/l) than with enflurane (19.4 mumol/l).,"[Serum fluoride concentrations and exocrine kidney function with sevoflurane and enflurane. An open, randomized, comparative phase III study of patients with healthy kidneys]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8678276/),[μM] / [l],34.5,8706,DB00599,Thiopental
,8678276,Peak serum IFCs,Peak serum IFCs were higher with sevoflurane (34.5 mumol/l) than with enflurane (19.4 mumol/l).,"[Serum fluoride concentrations and exocrine kidney function with sevoflurane and enflurane. An open, randomized, comparative phase III study of patients with healthy kidneys]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8678276/),[μM] / [l],19.4,8707,DB00599,Thiopental
,8678276,area under the curve (AUC),The area under the curve (AUC) was greater with sevoflurane (688 mumol/l.h) than with enflurane (591 mumol/l.h).,"[Serum fluoride concentrations and exocrine kidney function with sevoflurane and enflurane. An open, randomized, comparative phase III study of patients with healthy kidneys]. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8678276/),[μM] / [h·l],688,8708,DB00599,Thiopental
,8678276,area under the curve (AUC),The area under the curve (AUC) was greater with sevoflurane (688 mumol/l.h) than with enflurane (591 mumol/l.h).,"[Serum fluoride concentrations and exocrine kidney function with sevoflurane and enflurane. An open, randomized, comparative phase III study of patients with healthy kidneys]. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8678276/),[μM] / [h·l],591,8709,DB00599,Thiopental
,8678276,peak serum IFCs,In our study 1.69 MAC-h sevoflurane produced peak serum IFCs of 34.5 mumol/l.,"[Serum fluoride concentrations and exocrine kidney function with sevoflurane and enflurane. An open, randomized, comparative phase III study of patients with healthy kidneys]. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8678276/),[μM] / [l],34.5,8710,DB00599,Thiopental
,6869869,total apparent volume of distribution at steady state,The total apparent volume of distribution at steady state was of 2.3 +/- 0.5 1 X kg-1 in the controls and of 3.5 +/- 1.9 1 X kg-1 in the patients with cirrhosis.,Thiopental pharmacokinetics in patients with cirrhosis. ,Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6869869/),[1] / [kg],2.3,17478,DB00599,Thiopental
