Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,18083074,flow rate,"The mobile phase was a mixture of 0.05 M phosphate buffer with the pH adjusted to 2.6 and acetonitrile (74:26, v/v) at a flow rate of 1.0 mL/min.","A rapid and validated HPLC method to quantify racecadotril metabolite, thiorphan, in human plasma using solid-phase extraction. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18083074/),[ml] / [min],1.0,83295,DB08626,Thiorphan
,18083074,extraction recovery,"The extraction recovery for plasma samples of thiorphan at 0.1, 0.4 and 2.0 microg/mL was 93.5%, 98.2% and 97.8%, respectively.","A rapid and validated HPLC method to quantify racecadotril metabolite, thiorphan, in human plasma using solid-phase extraction. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18083074/),%,93.5,83296,DB08626,Thiorphan
,18083074,extraction recovery,"The extraction recovery for plasma samples of thiorphan at 0.1, 0.4 and 2.0 microg/mL was 93.5%, 98.2% and 97.8%, respectively.","A rapid and validated HPLC method to quantify racecadotril metabolite, thiorphan, in human plasma using solid-phase extraction. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18083074/),%,98.2,83297,DB08626,Thiorphan
,18083074,extraction recovery,"The extraction recovery for plasma samples of thiorphan at 0.1, 0.4 and 2.0 microg/mL was 93.5%, 98.2% and 97.8%, respectively.","A rapid and validated HPLC method to quantify racecadotril metabolite, thiorphan, in human plasma using solid-phase extraction. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18083074/),%,97.8,83298,DB08626,Thiorphan
,7515977,IC50,"Thiorphan and CGS 24128 inhibited NEP in vitro with IC50 values of 5.0 +/- 0.2 and 4.3 +/- 0.2 nM, respectively.","Pharmacologic profile of CGS 24128, a potent, long-acting inhibitor of neutral endopeptidase 24.11. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7515977/),nM,5.0,108101,DB08626,Thiorphan
,7515977,IC50,"Thiorphan and CGS 24128 inhibited NEP in vitro with IC50 values of 5.0 +/- 0.2 and 4.3 +/- 0.2 nM, respectively.","Pharmacologic profile of CGS 24128, a potent, long-acting inhibitor of neutral endopeptidase 24.11. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7515977/),nM,4.3,108102,DB08626,Thiorphan
,7515977,urinary sodium excretion (UNaV),"The change in urinary sodium excretion (UNaV) produced by ANP was 28.8 +/- 4.0 and 15.8 +/- 1.8 muEq/kg/min in CGS 24128- and vehicle-treated rats, respectively.","Pharmacologic profile of CGS 24128, a potent, long-acting inhibitor of neutral endopeptidase 24.11. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7515977/),[mueq] / [kg·min],28.8,108103,DB08626,Thiorphan
,7515977,urinary sodium excretion (UNaV),"The change in urinary sodium excretion (UNaV) produced by ANP was 28.8 +/- 4.0 and 15.8 +/- 1.8 muEq/kg/min in CGS 24128- and vehicle-treated rats, respectively.","Pharmacologic profile of CGS 24128, a potent, long-acting inhibitor of neutral endopeptidase 24.11. ",fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7515977/),[mueq] / [kg·min],15.8,108104,DB08626,Thiorphan
,7515977,delta UNaV,"ANP-induced natriuresis was also greater during continuous infusion of thiorphan (5 mg/kg bolus + 0.1 mg/kg/min i.v.; delta UNaV = 29.2 +/- 5.8 and 13.8 +/- 3.2 muEq/kg/min in drug- and vehicle-treated rats, respectively) but not when thiorphan was administered as a bolus (10 mg/kg i.v.) 60 min before the ANP challenge.","Pharmacologic profile of CGS 24128, a potent, long-acting inhibitor of neutral endopeptidase 24.11. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7515977/),[mueq] / [kg·min],29.2,108105,DB08626,Thiorphan
,7515977,delta UNaV,"ANP-induced natriuresis was also greater during continuous infusion of thiorphan (5 mg/kg bolus + 0.1 mg/kg/min i.v.; delta UNaV = 29.2 +/- 5.8 and 13.8 +/- 3.2 muEq/kg/min in drug- and vehicle-treated rats, respectively) but not when thiorphan was administered as a bolus (10 mg/kg i.v.) 60 min before the ANP challenge.","Pharmacologic profile of CGS 24128, a potent, long-acting inhibitor of neutral endopeptidase 24.11. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7515977/),[mueq] / [kg·min],13.8,108106,DB08626,Thiorphan
