Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9578011,maximum plasma concentration,"For total TGB in plasma, single-dose mean values of the maximum plasma concentration, clearance, and half-life (t(1/2)) ranged from 52 to 108 ng/ml, from 7.14 to 11.02 l/h, and from 6.4 to 8.4 h, respectively.",Effect of renal impairment on the pharmacokinetics and tolerability of tiagabine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9578011/),[ng] / [ml],52 to 108,39770,DB00906,Tiagabine
,9578011,clearance,"For total TGB in plasma, single-dose mean values of the maximum plasma concentration, clearance, and half-life (t(1/2)) ranged from 52 to 108 ng/ml, from 7.14 to 11.02 l/h, and from 6.4 to 8.4 h, respectively.",Effect of renal impairment on the pharmacokinetics and tolerability of tiagabine. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9578011/),[l] / [h],7.14 to 11.02,39771,DB00906,Tiagabine
,9578011,half-life (t(1/2)),"For total TGB in plasma, single-dose mean values of the maximum plasma concentration, clearance, and half-life (t(1/2)) ranged from 52 to 108 ng/ml, from 7.14 to 11.02 l/h, and from 6.4 to 8.4 h, respectively.",Effect of renal impairment on the pharmacokinetics and tolerability of tiagabine. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9578011/),h,6.4 to 8.4,39772,DB00906,Tiagabine
,10588919,clearance,"The values for clearance and volume of distribution at steady-state were 103+/-10 versus 90+/-6 ml min(-1) kg(-1) and 1.8+/-0.2 versus 1.6+/-0.2 l kg(-1) for the R- and S-isomer, respectively.","Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),[ml] / [kg·min],103,40698,DB00906,Tiagabine
,10588919,clearance,"The values for clearance and volume of distribution at steady-state were 103+/-10 versus 90+/-6 ml min(-1) kg(-1) and 1.8+/-0.2 versus 1.6+/-0.2 l kg(-1) for the R- and S-isomer, respectively.","Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),[ml] / [kg·min],90,40699,DB00906,Tiagabine
,10588919,volume of distribution at steady-state,"The values for clearance and volume of distribution at steady-state were 103+/-10 versus 90+/-6 ml min(-1) kg(-1) and 1.8+/-0.2 versus 1.6+/-0.2 l kg(-1) for the R- and S-isomer, respectively.","Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),[ml] / [kg·min],90,40700,DB00906,Tiagabine
,10588919,volume of distribution at steady-state,"The values for clearance and volume of distribution at steady-state were 103+/-10 versus 90+/-6 ml min(-1) kg(-1) and 1.8+/-0.2 versus 1.6+/-0.2 l kg(-1) for the R- and S-isomer, respectively.","Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),[l] / [kg],1.8,40701,DB00906,Tiagabine
,10588919,volume of distribution at steady-state,"The values for clearance and volume of distribution at steady-state were 103+/-10 versus 90+/-6 ml min(-1) kg(-1) and 1.8+/-0.2 versus 1.6+/-0.2 l kg(-1) for the R- and S-isomer, respectively.","Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",Vss-Q65,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),[l] / [kg],1.6,40702,DB00906,Tiagabine
,10588919,plasma protein binding,"In contrast, plasma protein binding showed a statistically significant difference with values of the free fraction of 5.7+/-0.5 and 11.4+/-0.6%.","Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),%,5.7,40703,DB00906,Tiagabine
,10588919,free fraction,"In contrast, plasma protein binding showed a statistically significant difference with values of the free fraction of 5.7+/-0.5 and 11.4+/-0.6%.","Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),%,5.7,40704,DB00906,Tiagabine
,10588919,free fraction,"In contrast, plasma protein binding showed a statistically significant difference with values of the free fraction of 5.7+/-0.5 and 11.4+/-0.6%.","Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),%,11.4,40705,DB00906,Tiagabine
,10588919,rate constant for transport to,In addition the rate constant for transport to the effect compartment was also different with values of 0.027 versus 0.067 min(-1).,"Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),1/[min],0.027,40706,DB00906,Tiagabine
,10588919,rate constant for transport to,In addition the rate constant for transport to the effect compartment was also different with values of 0.027 versus 0.067 min(-1).,"Stereoselective central nervous system effects of the R- and S-isomers of the GABA uptake blocker N-(4, 4-di-(3-methylthien-2-yl)but-3-enyl) nipecotic acid in the rat. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10588919/),1/[min],0.067,40707,DB00906,Tiagabine
