Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8046602,Tmax,"After the regular formulation, TA was absorbed rapidly (Tmax, 1.5 h) and eliminated with a t1/2 of 2 h and superimposable plasma concentration-time curves.",Human pharmacokinetics of tiaprofenic acid after regular and sustained release formulations: lack of chiral inversion and stereoselective release. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8046602/),h,1.5,16320,DB01600,Tiaprofenic acid
,8046602,t1/2,"After the regular formulation, TA was absorbed rapidly (Tmax, 1.5 h) and eliminated with a t1/2 of 2 h and superimposable plasma concentration-time curves.",Human pharmacokinetics of tiaprofenic acid after regular and sustained release formulations: lack of chiral inversion and stereoselective release. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8046602/),h,2,16321,DB01600,Tiaprofenic acid
,8046602,Tmax,"The SR formulation had a slower rate of absorption (Tmax, 4 h) and bioavailability comparable to that of the regular formulation.",Human pharmacokinetics of tiaprofenic acid after regular and sustained release formulations: lack of chiral inversion and stereoselective release. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8046602/),h,4,16322,DB01600,Tiaprofenic acid
,4026912,tl,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),h,0.53,18379,DB01600,Tiaprofenic acid
,4026912,tm,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),h,1.28,18380,DB01600,Tiaprofenic acid
,4026912,cm,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),[μg] / [ml],27.1,18381,DB01600,Tiaprofenic acid
,4026912,ka,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),1/[h],2.79,18382,DB01600,Tiaprofenic acid
,4026912,lambda 2,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),1/[h],1.06,18383,DB01600,Tiaprofenic acid
,4026912,t1/2,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),h,3.0,18384,DB01600,Tiaprofenic acid
,4026912,AUCl-infinity,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),[h·mg] / [l],80,18385,DB01600,Tiaprofenic acid
,4026912,Clt,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),[ml] / [min],43.8,18386,DB01600,Tiaprofenic acid
,4026912,V beta,"A dose independent pharmacokinetics of tiaprofenic acid was shown in fasting healthy volunteers and the following parameters were calculated after administration of 200 mg: tl = 0.53 +/- 0.15 h, tm = 1.28 +/- 0.19 h, cm = 27.1 micrograms/ml, ka = 2.79 +/- 0.93 h-1, lambda 2 = 1.06 +/- 0.14 h-1, t1/2 = 3.0 +/- 0.2 h, AUCl-infinity = 80 +/- 7 mg X h/l, Clt = 43.8 +/- 3.7 ml/min and V beta = 11.1 +/- 0.8 l.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,Vb-Q62,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),l,11.1,18387,DB01600,Tiaprofenic acid
,4026912,t1/2,"However, a significant increase in t1/2 and AUCl-infinity to 5.8 +/- 0.9 h and 173 +/- 34 mg X h/l, respectively, and a significant decrease in total body clearance to 25.5 +/- 5.3 ml/min were observed in this category of patients.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),h,5.8,18388,DB01600,Tiaprofenic acid
,4026912,AUCl-infinity,"However, a significant increase in t1/2 and AUCl-infinity to 5.8 +/- 0.9 h and 173 +/- 34 mg X h/l, respectively, and a significant decrease in total body clearance to 25.5 +/- 5.3 ml/min were observed in this category of patients.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),[h·mg] / [l],173,18389,DB01600,Tiaprofenic acid
,4026912,total body clearance,"However, a significant increase in t1/2 and AUCl-infinity to 5.8 +/- 0.9 h and 173 +/- 34 mg X h/l, respectively, and a significant decrease in total body clearance to 25.5 +/- 5.3 ml/min were observed in this category of patients.",Single dose pharmacokinetics of tiaprofenic acid. Effects of food and severe renal insufficiency. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4026912/),[ml] / [min],25.5,18390,DB01600,Tiaprofenic acid
,9118583,terminal phase half-life,"A sustained release dosage form is available, which may be beneficial due to the short terminal phase half-life of tiaprofenic acid (3 to 6 hours).",Clinical pharmacokinetics of tiaprofenic acid and its enantiomers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9118583/),h,3 to 6,32056,DB01600,Tiaprofenic acid
,3360864,flow-rate,"The organic layer was evaporated, and the reconstituted residue chromatographed at ambient temperature on a C18 reversed-phase column with a mobile phase consisting of 0.06 M monopotassium phosphate-acetonitrile-triethylamine (65:35:0.02) at a flow-rate of 1 ml/min.",Rapid and sensitive high-performance liquid chromatographic assay of tiaprofenic acid enantiomers in human plasma and urine. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3360864/),[ml] / [min],1,55102,DB01600,Tiaprofenic acid
,7500270,m/z ratios,"In addition, the FAB mass spectra obtained in nitrobenzyl alcohol and glycerin matrices gave pseudo-molecular ions with m/z ratios of 1630.75 and 1711.90 corresponding to C70H126O35[2Na.NaCl] and C70H126O35[2C3H8O3], respectively.","Inclusion complexation of heptakis(2,6-di-O-ethyl)-beta-cyclodextrin with tiaprofenic acid: pharmacokinetic consequences of a pH-dependent release and stereoselective dissolution. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7500270/),,1630.75,67860,DB01600,Tiaprofenic acid
