Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
≈,28255850,half-life,Population pharmacokinetic analysis identified a vemurafenib half-life of ≈57 h and elimination appears to be predominantly via the hepatic route.,Clinical Pharmacokinetics of Vemurafenib. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28255850/),h,57,6199,DB00697,Tizanidine
,9698954,Elimination half-lives,"Elimination half-lives of TZD in CSF were 15 min and 152 min, respectively.","Distribution, tolerability and tissue compatibility of intrathecal tizanidine in the sheep. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9698954/),min,15,28834,DB00697,Tizanidine
,9698954,Elimination half-lives,"Elimination half-lives of TZD in CSF were 15 min and 152 min, respectively.","Distribution, tolerability and tissue compatibility of intrathecal tizanidine in the sheep. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/9698954/),min,152,28835,DB00697,Tizanidine
,9698954,Clearance,Clearance of TZD from lumbar CSF was 0.48 ml/min.,"Distribution, tolerability and tissue compatibility of intrathecal tizanidine in the sheep. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9698954/),[ml] / [min],0.48,28836,DB00697,Tizanidine
,6617726,absorption half-life,"The drug had a mean absorption half-life of 0.30 +/- 0.155 h following a mean lagtime of 0.361 +/- 0.118 h, and a mean terminal elimination half-life of 4.16 +/- 2.06 h.",Tizanidine--initial pharmacokinetic studies in patients with spasticity. ,"t1/2,α-Q59",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6617726/),h,0.30,32430,DB00697,Tizanidine
,6617726,lagtime,"The drug had a mean absorption half-life of 0.30 +/- 0.155 h following a mean lagtime of 0.361 +/- 0.118 h, and a mean terminal elimination half-life of 4.16 +/- 2.06 h.",Tizanidine--initial pharmacokinetic studies in patients with spasticity. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6617726/),h,0.361,32431,DB00697,Tizanidine
,6617726,terminal elimination half-life,"The drug had a mean absorption half-life of 0.30 +/- 0.155 h following a mean lagtime of 0.361 +/- 0.118 h, and a mean terminal elimination half-life of 4.16 +/- 2.06 h.",Tizanidine--initial pharmacokinetic studies in patients with spasticity. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6617726/),h,4.16,32432,DB00697,Tizanidine
,23380428,"peak plasma concentration, Cmax","The average bioavailability measures and pharmacokinetic parameters of the two tizanidine tablets were as follows: peak plasma concentration, Cmax, was 1.21 ± 0.84 ng/ml and 1.28 ± 1.11 ng/ml for Tizanidine PIC® and Sirdalud®, respectively.",Pharmacokinetic comparison of two 4 mg tablet formulations of tizanidine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23380428/),[ng] / [ml],1.21,47473,DB00697,Tizanidine
,23380428,"peak plasma concentration, Cmax","The average bioavailability measures and pharmacokinetic parameters of the two tizanidine tablets were as follows: peak plasma concentration, Cmax, was 1.21 ± 0.84 ng/ml and 1.28 ± 1.11 ng/ml for Tizanidine PIC® and Sirdalud®, respectively.",Pharmacokinetic comparison of two 4 mg tablet formulations of tizanidine. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23380428/),[ng] / [ml],1.28,47474,DB00697,Tizanidine
,23380428,time to peak plasma concentrations tmax,"The time to peak plasma concentrations tmax were 0.83 ± 0.43 and 1.01 ± 0.5 hours, while the plasma half-life (t1/2) values were 1.20 ± 0.84 and 1.29 ± 0.57 hours.",Pharmacokinetic comparison of two 4 mg tablet formulations of tizanidine. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23380428/),h,0.83,47475,DB00697,Tizanidine
