Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2493353,elimination half-life,Estimated mean elimination half-life of glyburide was 3.3 +/- 1.1 hours for EM and 2.5 +/- 0.4 hours for PM.,The metabolism of glyburide in subjects of known debrisoquin phenotype. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2493353/),h,3.3,2489,DB01124,Tolbutamide
,2493353,elimination half-life,Estimated mean elimination half-life of glyburide was 3.3 +/- 1.1 hours for EM and 2.5 +/- 0.4 hours for PM.,The metabolism of glyburide in subjects of known debrisoquin phenotype. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2493353/),h,2.5,2490,DB01124,Tolbutamide
,2493353,apparent elimination half-life,"In one subject (EM), with reduced excretion of 30H, glyburide was detected in plasma at 24 and 30 hours and the apparent elimination half-life was 9.3 hours.",The metabolism of glyburide in subjects of known debrisoquin phenotype. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/2493353/),h,9.3,2491,DB01124,Tolbutamide
,9678539,half-life,The half-life of serum tolbutamide decreased from 46 to 6 h.,Prolonged elimination of tolbutamide in a premature newborn with hyperinsulinaemic hypoglycaemia. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9678539/),h,46,4018,DB01124,Tolbutamide
,9678539,half-life,The half-life of serum tolbutamide decreased from 46 to 6 h.,Prolonged elimination of tolbutamide in a premature newborn with hyperinsulinaemic hypoglycaemia. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9678539/),h,6,4019,DB01124,Tolbutamide
,33746741,half-maximal inhibitory concentration,"The in vitro results revealed that the half-maximal inhibitory concentration values of bupropion and tolbutamide in RLMs were 8.79 and 20.17 μM, respectively, indicating that poziotinib showed varying degrees of inhibition toward cyp2b1 and cyp2c11.",Inhibition and Induction by Poziotinib of Different Rat Cytochrome P450 Enzymes In Vivo and in an In Vitro Cocktail Method. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33746741/),μM,8.79,5916,DB01124,Tolbutamide
,33746741,half-maximal inhibitory concentration,"The in vitro results revealed that the half-maximal inhibitory concentration values of bupropion and tolbutamide in RLMs were 8.79 and 20.17 μM, respectively, indicating that poziotinib showed varying degrees of inhibition toward cyp2b1 and cyp2c11.",Inhibition and Induction by Poziotinib of Different Rat Cytochrome P450 Enzymes In Vivo and in an In Vitro Cocktail Method. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33746741/),μM,20.17,5917,DB01124,Tolbutamide
,33746741,Ki,"Poziotinib was a competitive inhibitor of cyp2b1 and cyp2c11, with Ki values of 16.18 and 17.66 μM, respectively.",Inhibition and Induction by Poziotinib of Different Rat Cytochrome P450 Enzymes In Vivo and in an In Vitro Cocktail Method. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33746741/),μM,16.18,5918,DB01124,Tolbutamide
,33746741,Ki,"Poziotinib was a competitive inhibitor of cyp2b1 and cyp2c11, with Ki values of 16.18 and 17.66 μM, respectively.",Inhibition and Induction by Poziotinib of Different Rat Cytochrome P450 Enzymes In Vivo and in an In Vitro Cocktail Method. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33746741/),μM,17.66,5919,DB01124,Tolbutamide
,23138519,flow rate,"The analytes were extracted by using liquid-liquid extraction procedure and separated on a reverse phase C18 column (50 mm×3 mm i.d., 4.6 µ) using methanol: 2 mM ammonium acetate buffer, pH 4.0 as mobile phase at a flow rate 1 mL/min in gradient mode.","Simultaneous determination of methotrexate, dasatinib and its active metabolite N- deshydroxyethyl dasatinib in rat plasma by LC-MS/MS: method validation and application to pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23138519/),[ml] / [min],1,7934,DB01124,Tolbutamide
>,23138519,recoveries,The recoveries from spiked control samples were > 79% for all analytes and internal standard Intra- and Interday accuracy and precision of validated method were within the acceptable limits of < 15% at all concentration.,"Simultaneous determination of methotrexate, dasatinib and its active metabolite N- deshydroxyethyl dasatinib in rat plasma by LC-MS/MS: method validation and application to pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23138519/),%,79,7935,DB01124,Tolbutamide
,25594893,flow rate,"Chromatographic separation of analytes was performed on YMC pack ODS AM (150 mm × 4.6 mm, 5 μm) column under gradient conditions with acetonitrile:0.1% formic acid buffer as the mobile phases at a flow rate of 1 ml/min.","Simultaneous quantification of lenalidomide, ibrutinib and its active metabolite PCI-45227 in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25594893/),[ml] / [min],1,10969,DB01124,Tolbutamide
,25594893,extraction recovery,"Mean extraction recovery for ibrutinib, PCI-45227, lenalidomide and IS of 75.2%, 84.5%, 97.3% and 92.3% were consistent across low, medium, and high QC levels.","Simultaneous quantification of lenalidomide, ibrutinib and its active metabolite PCI-45227 in rat plasma by LC-MS/MS: application to a pharmacokinetic study. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25594893/),%,75.2,10970,DB01124,Tolbutamide
