Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,9754991,initial lag time,"After an initial lag time of 0.5 h, tolcapone was rapidly absorbed (peak plasma concentrations were reached within approximately 2 h) following either zero- or first-order absorption kinetics.","Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),h,0.5,17888,DB00323,Tolcapone
,9754991,absolute bioavailability,The absolute bioavailability of an oral dose was approximately 60%.,"Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),%,60,17889,DB00323,Tolcapone
,9754991,volume of distribution,"The volume of distribution was approximately 9 1, and the total clearance was approximately 71.h-l, resulting in a mean plasma half-life of 1.8 h.","Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),1,9,17890,DB00323,Tolcapone
,9754991,total clearance,"The volume of distribution was approximately 9 1, and the total clearance was approximately 71.h-l, resulting in a mean plasma half-life of 1.8 h.","Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),h-l,71.,17891,DB00323,Tolcapone
,9754991,plasma half-life,"The volume of distribution was approximately 9 1, and the total clearance was approximately 71.h-l, resulting in a mean plasma half-life of 1.8 h.","Pharmacokinetics and pharmacodynamics after oral and intravenous administration of tolcapone, a novel adjunct to Parkinson's disease therapy. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/9754991/),h,1.8,17892,DB00323,Tolcapone
,21970858,F(a)F(g),"F(a)F(g) was calculated from pharmacokinetic parameters after intravenous and oral administration or using the portal-systemic concentration difference method, with values ranging from 0.027 (ezetimibe) to 1 (tolcapone).",Quantitative prediction of intestinal glucuronidation of drugs in rats using in vitro metabolic clearance data. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21970858/),,0.027,53866,DB00323,Tolcapone
,21970858,F(a)F(g),"F(a)F(g) was calculated from pharmacokinetic parameters after intravenous and oral administration or using the portal-systemic concentration difference method, with values ranging from 0.027 (ezetimibe) to 1 (tolcapone).",Quantitative prediction of intestinal glucuronidation of drugs in rats using in vitro metabolic clearance data. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21970858/),,1,53867,DB00323,Tolcapone
,21970858,"CL(int, UGT)","Glucuronides of model compounds were observed in the portal plasma after oral administration, with CL(int, UGT) values ranging from 57.8 (tolcapone) to 19,200 µL/min/mg (resveratrol).",Quantitative prediction of intestinal glucuronidation of drugs in rats using in vitro metabolic clearance data. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21970858/),[μl] / [mg·min],57.8,53868,DB00323,Tolcapone
,21970858,"CL(int, UGT)","Glucuronides of model compounds were observed in the portal plasma after oral administration, with CL(int, UGT) values ranging from 57.8 (tolcapone) to 19,200 µL/min/mg (resveratrol).",Quantitative prediction of intestinal glucuronidation of drugs in rats using in vitro metabolic clearance data. ,CLint-Q29,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21970858/),[μl] / [mg·min],"19,200",53869,DB00323,Tolcapone
,16485914,elimination half-life (t(1/2)),The elimination half-life (t(1/2)) of levodopa from plasma (in combination with a decarboxylase inhibitor) of about 1.5 hours becomes more influential as the disease progresses.,Pharmacokinetic optimisation in the treatment of Parkinson's disease : an update. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/16485914/),h,1.5,61864,DB00323,Tolcapone
,25869243,IC50,SAB inhibited the methylation of l-DOPA with an IC50 value of 2.08 μM in vitro.,Salvianolic acid B as a substrate and weak catechol-O-methyltransferase inhibitor in rats. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25869243/),μM,2.08,66282,DB00323,Tolcapone
,8474536,plasma half-life,"More than 150 min of COMT inhibition were required for endogenous MOPEG to disappear from plasma, since the plasma half-life of MOPEG was 54 min.","The part played by catechol-O-methyltransferase in the plasma kinetics of 3,4-dihydroxyphenylglycol and 3,4-dihydroxyphenylalanine in the anaesthetized rabbit. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8474536/),min,54,68127,DB00323,Tolcapone
