Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,4064465,plasma unbound drug concentration,The overall mean plasma unbound drug concentration measured 12 hours after 100 mg tolrestat (11.7 +/- 3.0 ng/ml; 3.3 X 10(-8) mol/L) was similar to the median inhibitory level (3 X 10(-8) mol/L) of tolrestat for sorbitol accumulation in human RBCs incubated in a high-glucose medium.,Effect of tolrestat on red blood cell sorbitol levels in patients with diabetes. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4064465/),[ng] / [ml],11.7,61491,DB02383,Tolrestat
,4064465,plasma unbound drug concentration,The overall mean plasma unbound drug concentration measured 12 hours after 100 mg tolrestat (11.7 +/- 3.0 ng/ml; 3.3 X 10(-8) mol/L) was similar to the median inhibitory level (3 X 10(-8) mol/L) of tolrestat for sorbitol accumulation in human RBCs incubated in a high-glucose medium.,Effect of tolrestat on red blood cell sorbitol levels in patients with diabetes. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4064465/),[mol] / [l],3.3 X 10(-8),61492,DB02383,Tolrestat
,4064465,inhibitory level,The overall mean plasma unbound drug concentration measured 12 hours after 100 mg tolrestat (11.7 +/- 3.0 ng/ml; 3.3 X 10(-8) mol/L) was similar to the median inhibitory level (3 X 10(-8) mol/L) of tolrestat for sorbitol accumulation in human RBCs incubated in a high-glucose medium.,Effect of tolrestat on red blood cell sorbitol levels in patients with diabetes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/4064465/),[mol] / [l],3 X 10(-8),61493,DB02383,Tolrestat
,8529328,terminal disposition half-life (t1/2),"Tolrestat disposition was characterized by first-order absorption and biexponential disposition: In normal subjects the terminal disposition half-life (t1/2) was 13 +/- 3 hours (mean +/- SD) and the apparent oral clearance (CL/F) was 48 +/- 9 ml/hr/kg, similar to the values in patients with type I diabetes mellitus (t1/2 = 14 +/- 4 hours; CL/F = 55 +/- 10 ml/hr/kg).",Tolrestat pharmacokinetic and pharmacodynamic effects on red blood cell sorbitol levels in normal volunteers and in patients with insulin-dependent diabetes. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/8529328/),h,13,76404,DB02383,Tolrestat
,8529328,apparent oral clearance (CL/F),"Tolrestat disposition was characterized by first-order absorption and biexponential disposition: In normal subjects the terminal disposition half-life (t1/2) was 13 +/- 3 hours (mean +/- SD) and the apparent oral clearance (CL/F) was 48 +/- 9 ml/hr/kg, similar to the values in patients with type I diabetes mellitus (t1/2 = 14 +/- 4 hours; CL/F = 55 +/- 10 ml/hr/kg).",Tolrestat pharmacokinetic and pharmacodynamic effects on red blood cell sorbitol levels in normal volunteers and in patients with insulin-dependent diabetes. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8529328/),[ml] / [h·kg],48,76405,DB02383,Tolrestat
,8529328,t1/2,"Tolrestat disposition was characterized by first-order absorption and biexponential disposition: In normal subjects the terminal disposition half-life (t1/2) was 13 +/- 3 hours (mean +/- SD) and the apparent oral clearance (CL/F) was 48 +/- 9 ml/hr/kg, similar to the values in patients with type I diabetes mellitus (t1/2 = 14 +/- 4 hours; CL/F = 55 +/- 10 ml/hr/kg).",Tolrestat pharmacokinetic and pharmacodynamic effects on red blood cell sorbitol levels in normal volunteers and in patients with insulin-dependent diabetes. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8529328/),h,14,76406,DB02383,Tolrestat
,8529328,CL/F,"Tolrestat disposition was characterized by first-order absorption and biexponential disposition: In normal subjects the terminal disposition half-life (t1/2) was 13 +/- 3 hours (mean +/- SD) and the apparent oral clearance (CL/F) was 48 +/- 9 ml/hr/kg, similar to the values in patients with type I diabetes mellitus (t1/2 = 14 +/- 4 hours; CL/F = 55 +/- 10 ml/hr/kg).",Tolrestat pharmacokinetic and pharmacodynamic effects on red blood cell sorbitol levels in normal volunteers and in patients with insulin-dependent diabetes. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8529328/),[ml] / [h·kg],55,76407,DB02383,Tolrestat
,8529328,plasma IC50,The plasma IC50 averaged 2.0 +/- 1.3 micrograms/ml in normal subjects and 2.5 +/- 1.9 micrograms/ml in patients with diabetes.,Tolrestat pharmacokinetic and pharmacodynamic effects on red blood cell sorbitol levels in normal volunteers and in patients with insulin-dependent diabetes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8529328/),[μg] / [ml],2.0,76408,DB02383,Tolrestat
,8529328,plasma IC50,The plasma IC50 averaged 2.0 +/- 1.3 micrograms/ml in normal subjects and 2.5 +/- 1.9 micrograms/ml in patients with diabetes.,Tolrestat pharmacokinetic and pharmacodynamic effects on red blood cell sorbitol levels in normal volunteers and in patients with insulin-dependent diabetes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8529328/),[μg] / [ml],2.5,76409,DB02383,Tolrestat
,8529328,IC50,"IC50 values expressed in free (unbound) concentrations (fu = 0.64%), which ranged from 12 to 16 ng/ml, were similar to the in vitro IC50 for inhibition of sorbitol accumulation in human red blood cells.",Tolrestat pharmacokinetic and pharmacodynamic effects on red blood cell sorbitol levels in normal volunteers and in patients with insulin-dependent diabetes. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8529328/),[ng] / [ml],0.64,76410,DB02383,Tolrestat
