Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12634617,area under the curve ratios,"The area under the curve ratios for RBC total to plasma lactone were 2.53+/-0.0640 and 2.13+/-0.442 in males and females, respectively.",Red blood cells: a neglected compartment in topotecan pharmacokinetic analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12634617/),,2.53,492,DB01030,Topotecan
,12634617,area under the curve ratios,"The area under the curve ratios for RBC total to plasma lactone were 2.53+/-0.0640 and 2.13+/-0.442 in males and females, respectively.",Red blood cells: a neglected compartment in topotecan pharmacokinetic analysis. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12634617/),,2.13,493,DB01030,Topotecan
,8888741,MTD,"In heavily pretreated children, the MTD for topotecan given by intermittent 30-min infusion for 5 days is 1.4 mg/m2 without GCSF and 2.0 mg/m2/day with GCSF.",Phase I trial and pharmacokinetic (PK) and pharmacodynamics (PD) study of topotecan using a five-day course in children with refractory solid tumors: a pediatric oncology group study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8888741/),[mg] / [m2],1.4,714,DB01030,Topotecan
,8888741,MTD,"In heavily pretreated children, the MTD for topotecan given by intermittent 30-min infusion for 5 days is 1.4 mg/m2 without GCSF and 2.0 mg/m2/day with GCSF.",Phase I trial and pharmacokinetic (PK) and pharmacodynamics (PD) study of topotecan using a five-day course in children with refractory solid tumors: a pediatric oncology group study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8888741/),[mg] / [d·m2],2.0,715,DB01030,Topotecan
,19531625,area under the free carboplatin plasma concentration versus time curve,"Dose-limiting toxicities during the C-->T schedule were grade 4 thrombocytopenia and febrile neutropenia (MTD: carboplatin target area under the free carboplatin plasma concentration versus time curve, 4 min mg/mL; topotecan, 0.5 mg/m(2)/d).",Phase I pharmacokinetic and pharmacodynamic study of Carboplatin and topotecan administered intravenously every 28 days to patients with malignant solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19531625/),[mg·min] / [ml],4,5613,DB01030,Topotecan
,19531625,area under the free carboplatin plasma concentration versus time curve,"Dose-limiting toxicities during the T-->C schedule included grade 4 neutropenia, thrombocytopenia, neutropenic fever, and grade 4 nausea and vomiting (MTD: carboplatin target area under the free carboplatin plasma concentration versus time curve, 6 min mg/mL; topotecan, 0.9 mg/m(2)/d).",Phase I pharmacokinetic and pharmacodynamic study of Carboplatin and topotecan administered intravenously every 28 days to patients with malignant solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19531625/),[mg·min] / [ml],6,5614,DB01030,Topotecan
,26959658,optic nerve-to-plasma ratio,"The median optic nerve-to-plasma ratio after OAC and IV was 44 and 0.35, respectively.",Topotecan Delivery to the Optic Nerve after Ophthalmic Artery Chemosurgery. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26959658/),,44,9154,DB01030,Topotecan
,26959658,optic nerve-to-plasma ratio,"The median optic nerve-to-plasma ratio after OAC and IV was 44 and 0.35, respectively.",Topotecan Delivery to the Optic Nerve after Ophthalmic Artery Chemosurgery. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26959658/),,0.35,9155,DB01030,Topotecan
,1358575,clearance rate,"The clearance rate for topotecan lactone was 1220 ml/min/m2, with a range of 300-4760 ml/min/m2.",Pharmacokinetics and pharmacodynamics of topotecan in patients with advanced cancer. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1358575/),[ml] / [m2·min],1220,9483,DB01030,Topotecan
,1358575,clearance rate,"The clearance rate for total topotecan (lactone and hydroxy acid) was 493 ml/min/m2, with a range of 163-815 ml/min/m2.",Pharmacokinetics and pharmacodynamics of topotecan in patients with advanced cancer. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1358575/),[ml] / [m2·min],493,9484,DB01030,Topotecan
