Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,31186313,progression-free survival,"Thirteen patients were enrolled in the DTC cohort; OR was 33% (95% confidence interval, 9.9, 65.1%) and median progression-free survival was 10.7 months.",A Phase I Trial of the VEGF Receptor Tyrosine Kinase Inhibitor Pazopanib in Combination with the MEK Inhibitor Trametinib in Advanced Solid Tumors and Differentiated Thyroid Cancers. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31186313/),month,10,9163,DB08911,Trametinib
<,32062691,objective response rate,"The objective response rate was < 5% (1 complete response, 5 partial responses).",Phase I dose-escalation trial of the oral AKT inhibitor uprosertib in combination with the oral MEK1/MEK2 inhibitor trametinib in patients with solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32062691/),%,5,11169,DB08911,Trametinib
,22805291,maximum tolerated dose,The maximum tolerated dose was 3 mg once daily and the recommended phase 2 dose was 2 mg a day.,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22805291/),,3,15832,DB08911,Trametinib
,22805291,effective,The effective half-life of trametinib was about 4 days.,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22805291/),d,4,15833,DB08911,Trametinib
,22805291,half-life,The effective half-life of trametinib was about 4 days.,"Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22805291/),d,4,15834,DB08911,Trametinib
,22805291,peak:trough ratio,"At the recommended phase 2 dose, the exposure profile of the drug showed low interpatient variability and a small peak:trough ratio of 1·81.","Safety, pharmacokinetic, pharmacodynamic, and efficacy data for the oral MEK inhibitor trametinib: a phase 1 dose-escalation trial. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22805291/),,1·81,15835,DB08911,Trametinib
,32534242,DOR,"Median DOR and PFS were 11.3 and 7.9 months, respectively.","Open-label, phase IIa study of dabrafenib plus trametinib in East Asian patients with advanced BRAF V600-mutant cutaneous melanoma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32534242/),month,11.3,22619,DB08911,Trametinib
,32534242,PFS,"Median DOR and PFS were 11.3 and 7.9 months, respectively.","Open-label, phase IIa study of dabrafenib plus trametinib in East Asian patients with advanced BRAF V600-mutant cutaneous melanoma. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32534242/),month,7.9,22620,DB08911,Trametinib
,32534242,Cmax,"Mean Cmax for dabrafenib and trametinib was 3560 and 11.5 ng/mL (day 1) and 2680 and 27.1 ng/mL (day 15), respectively.","Open-label, phase IIa study of dabrafenib plus trametinib in East Asian patients with advanced BRAF V600-mutant cutaneous melanoma. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32534242/),[ng] / [ml],3560,22621,DB08911,Trametinib
,32534242,Cmax,"Mean Cmax for dabrafenib and trametinib was 3560 and 11.5 ng/mL (day 1) and 2680 and 27.1 ng/mL (day 15), respectively.","Open-label, phase IIa study of dabrafenib plus trametinib in East Asian patients with advanced BRAF V600-mutant cutaneous melanoma. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32534242/),[ng] / [ml],11.5,22622,DB08911,Trametinib
,32534242,Cmax,"Mean Cmax for dabrafenib and trametinib was 3560 and 11.5 ng/mL (day 1) and 2680 and 27.1 ng/mL (day 15), respectively.","Open-label, phase IIa study of dabrafenib plus trametinib in East Asian patients with advanced BRAF V600-mutant cutaneous melanoma. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32534242/),[ng] / [ml],2680,22623,DB08911,Trametinib
,32534242,Cmax,"Mean Cmax for dabrafenib and trametinib was 3560 and 11.5 ng/mL (day 1) and 2680 and 27.1 ng/mL (day 15), respectively.","Open-label, phase IIa study of dabrafenib plus trametinib in East Asian patients with advanced BRAF V600-mutant cutaneous melanoma. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32534242/),[ng] / [ml],27.1,22624,DB08911,Trametinib
,25500057,overall response rate,"For all (21) patients with ovarian cancer, overall response rate was 29% [1 complete response, 5 partial responses (PR)], disease control rate 76%, and median progression-free survival was 7 months.",A phase Ib dose-escalation study of the oral pan-PI3K inhibitor buparlisib (BKM120) in combination with the oral MEK1/2 inhibitor trametinib (GSK1120212) in patients with selected advanced solid tumors. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25500057/),%,29,103209,DB08911,Trametinib
,25500057,progression-free survival,"For all (21) patients with ovarian cancer, overall response rate was 29% [1 complete response, 5 partial responses (PR)], disease control rate 76%, and median progression-free survival was 7 months.",A phase Ib dose-escalation study of the oral pan-PI3K inhibitor buparlisib (BKM120) in combination with the oral MEK1/2 inhibitor trametinib (GSK1120212) in patients with selected advanced solid tumors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25500057/),month,7,103210,DB08911,Trametinib
,24606567,absolute bioavailability,"The least-squares mean (90% confidence interval) absolute bioavailability of trametinib (2 mg tablet) was 72.3% (50.0%, 104.6%).","Concomitant oral and intravenous pharmacokinetics of trametinib, a MEK inhibitor, in subjects with solid tumours. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24606567/),%,72.3,149829,DB08911,Trametinib
,24606567,absolute bioavailability,"The least-squares mean (90% confidence interval) absolute bioavailability of trametinib (2 mg tablet) was 72.3% (50.0%, 104.6%).","Concomitant oral and intravenous pharmacokinetics of trametinib, a MEK inhibitor, in subjects with solid tumours. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24606567/),%,104.6,149830,DB08911,Trametinib
,24606567,tmax,Median tmax after oral administration was 1.5 h and the geometric mean terminal half-life was 11 days.,"Concomitant oral and intravenous pharmacokinetics of trametinib, a MEK inhibitor, in subjects with solid tumours. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24606567/),h,1.5,149831,DB08911,Trametinib
,24606567,terminal half-life,Median tmax after oral administration was 1.5 h and the geometric mean terminal half-life was 11 days.,"Concomitant oral and intravenous pharmacokinetics of trametinib, a MEK inhibitor, in subjects with solid tumours. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/24606567/),d,11,149832,DB08911,Trametinib
,24606567,clearance,"The geometric mean clearance and volume of distribution after i.v. administration were 3.21 l h(-1) and 976 l, respectively, resulting in a terminal elimination half-life of 11 days.","Concomitant oral and intravenous pharmacokinetics of trametinib, a MEK inhibitor, in subjects with solid tumours. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24606567/),[l] / [h],3.21,149833,DB08911,Trametinib
,24606567,volume of distribution,"The geometric mean clearance and volume of distribution after i.v. administration were 3.21 l h(-1) and 976 l, respectively, resulting in a terminal elimination half-life of 11 days.","Concomitant oral and intravenous pharmacokinetics of trametinib, a MEK inhibitor, in subjects with solid tumours. ",V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24606567/),l,976,149834,DB08911,Trametinib
,24606567,terminal elimination half-life,"The geometric mean clearance and volume of distribution after i.v. administration were 3.21 l h(-1) and 976 l, respectively, resulting in a terminal elimination half-life of 11 days.","Concomitant oral and intravenous pharmacokinetics of trametinib, a MEK inhibitor, in subjects with solid tumours. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/24606567/),d,11,149835,DB08911,Trametinib
,32283865,AUC,"MM patients experiencing DLT were overexposed to DAB compared to patients without DLT (AUC: 9624 vs. 7485 ng∙h/mL, respectively, p < 0.01).",Population Pharmacokinetics/Pharmacodynamics of Dabrafenib Plus Trametinib in Patients with BRAF-Mutated Metastatic Melanoma. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32283865/),[ng∙h] / [ml],9624,164193,DB08911,Trametinib
,32283865,AUC,"MM patients experiencing DLT were overexposed to DAB compared to patients without DLT (AUC: 9624 vs. 7485 ng∙h/mL, respectively, p < 0.01).",Population Pharmacokinetics/Pharmacodynamics of Dabrafenib Plus Trametinib in Patients with BRAF-Mutated Metastatic Melanoma. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32283865/),[ng∙h] / [ml],7485,164194,DB08911,Trametinib
,32283865,plasma,"Eastern Cooperative Oncology Group Performance Status (ECOG PS) ≥ 2 and plasma ratio AUCOHD/AUCDAB ≥ 1 were independently associated with shorter OS (HR: 6.58 (1.29-33.56); p = 0.023 and 10.61 (2.34-48.15), p = 0.022, respectively).",Population Pharmacokinetics/Pharmacodynamics of Dabrafenib Plus Trametinib in Patients with BRAF-Mutated Metastatic Melanoma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32283865/),,1,164195,DB08911,Trametinib
<,26940938,trough concentration,"The number of responders was consistent across median exposure range, although tended to be lower at trough concentration <10 ng/mL.","Population pharmacokinetics and exposure-response of trametinib, a MEK inhibitor, in patients with BRAF V600 mutation-positive melanoma. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26940938/),[ng] / [ml],10,176951,DB08911,Trametinib
,26940938,C min,"Patients with observed C min above the median had longer PFS than those below median based on Phase 2 study (median 10.6 ng/mL), while the effect of exposure was not statistically significant in the Phase 3 study (median 13.6 ng/mL).","Population pharmacokinetics and exposure-response of trametinib, a MEK inhibitor, in patients with BRAF V600 mutation-positive melanoma. ",Cmin-Q36,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26940938/),[ng] / [ml],10.6,176952,DB08911,Trametinib
