Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,7527101,accumulation ratios,"A steady-state plasma concentration of the active metabolite of trandolapril, trandolaprilat, was reached after 4 days in the two groups, with similar accumulation ratios (young, 1.48; elderly, 1.49).",Pharmacokinetics and pharmacodynamics of trandolapril after repeated administration of 2 mg to young and elderly patients with mild-to-moderate hypertension. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7527101/),,1.48,27271,DB00519,Trandolapril
,7527101,accumulation ratios,"A steady-state plasma concentration of the active metabolite of trandolapril, trandolaprilat, was reached after 4 days in the two groups, with similar accumulation ratios (young, 1.48; elderly, 1.49).",Pharmacokinetics and pharmacodynamics of trandolapril after repeated administration of 2 mg to young and elderly patients with mild-to-moderate hypertension. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7527101/),,1.49,27272,DB00519,Trandolapril
,7527101,Cmax,"At steady state, the Cmax and AUC 0-24 h for trandolaprilat were similar in the two groups: young, 7.49 +/- 0.98 ng/ml and 82.27 +/- 6.95 ng/ml/h; elderly, 8.35 +/- 0.67 ng/ml/h and 96.75 +/- 5.67 ng/ml/h.",Pharmacokinetics and pharmacodynamics of trandolapril after repeated administration of 2 mg to young and elderly patients with mild-to-moderate hypertension. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7527101/),[ng] / [ml],7.49,27273,DB00519,Trandolapril
,7527101,Cmax,"At steady state, the Cmax and AUC 0-24 h for trandolaprilat were similar in the two groups: young, 7.49 +/- 0.98 ng/ml and 82.27 +/- 6.95 ng/ml/h; elderly, 8.35 +/- 0.67 ng/ml/h and 96.75 +/- 5.67 ng/ml/h.",Pharmacokinetics and pharmacodynamics of trandolapril after repeated administration of 2 mg to young and elderly patients with mild-to-moderate hypertension. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7527101/),[ng] / [h·ml],8.35,27274,DB00519,Trandolapril
,7527101,AUC 0-24 h,"At steady state, the Cmax and AUC 0-24 h for trandolaprilat were similar in the two groups: young, 7.49 +/- 0.98 ng/ml and 82.27 +/- 6.95 ng/ml/h; elderly, 8.35 +/- 0.67 ng/ml/h and 96.75 +/- 5.67 ng/ml/h.",Pharmacokinetics and pharmacodynamics of trandolapril after repeated administration of 2 mg to young and elderly patients with mild-to-moderate hypertension. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7527101/),[ng] / [h·ml],82.27,27275,DB00519,Trandolapril
,7527101,AUC 0-24 h,"At steady state, the Cmax and AUC 0-24 h for trandolaprilat were similar in the two groups: young, 7.49 +/- 0.98 ng/ml and 82.27 +/- 6.95 ng/ml/h; elderly, 8.35 +/- 0.67 ng/ml/h and 96.75 +/- 5.67 ng/ml/h.",Pharmacokinetics and pharmacodynamics of trandolapril after repeated administration of 2 mg to young and elderly patients with mild-to-moderate hypertension. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7527101/),[ng] / [h·ml],96.75,27276,DB00519,Trandolapril
,8480624,time to reach peak plasma concentrations,The time to reach peak plasma concentrations of trandolaprilat is about 6 hours; the effective plasma half-life of accumulation at steady state is 24 hours.,"Pharmacologic profile of trandolapril, a new angiotensin-converting enzyme inhibitor. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8480624/),h,6,40216,DB00519,Trandolapril
,8480624,effective plasma half-life of accumulation at steady state,The time to reach peak plasma concentrations of trandolaprilat is about 6 hours; the effective plasma half-life of accumulation at steady state is 24 hours.,"Pharmacologic profile of trandolapril, a new angiotensin-converting enzyme inhibitor. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8480624/),h,24,40217,DB00519,Trandolapril
lower,7512472,trough: peak ratios,Other ACE inhibitors had trough: peak ratios lower than 50%.,Trandolapril. How does it differ from other angiotensin converting enzyme inhibitors? ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7512472/),,50,61290,DB00519,Trandolapril
,22422678,recovery,The mean recovery for febuxostat ranged from 100.9 to 106.5%.,Determination of febuxostat in human plasma using ultra-performance liquid chromatography tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22422678/),%,100.9 to 106.5,93055,DB00519,Trandolapril
,22422678,run time,"This method increased the sensitivity and selectivity; resulting in high-throughput analysis of febuxostat using commercially available IS for pharmacokinetic, bioavailability, and bioequivalence studies, with a chromatographic run time of 1.5 min only.",Determination of febuxostat in human plasma using ultra-performance liquid chromatography tandem mass spectrometry. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22422678/),min,1.5,93056,DB00519,Trandolapril
,29319234,run time,The chromatographic separation was achieved on a Gemini C18 reversed phase column using a gradient elution mode with a run time of 10 minutes.,"Comparative pharmacokinetics of trandolapril, its active metabolite, and verapamil in human plasma of Egyptian population using HPLC-MS/MS. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/29319234/),min,10,162441,DB00519,Trandolapril
