Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12959316,AUCs,"AUCs of the (-)-enantiomer [arithmetical means 197 ng ml(-1) h after the racemate, 130 ng ml(-1) h after the enantiomer] were greater than those of the (+)-enantiomer [26 ng ml(-1) h after the racemate, 28 ng ml(-1) h after the enantiomer] (P = 0.0001).",The pharmacokinetics of tranylcypromine enantiomers in healthy subjects after oral administration of racemic drug and the single enantiomers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12959316/),[h·ng] / [ml],197,102114,DB00752,Tranylcypromine
,12959316,AUCs,"AUCs of the (-)-enantiomer [arithmetical means 197 ng ml(-1) h after the racemate, 130 ng ml(-1) h after the enantiomer] were greater than those of the (+)-enantiomer [26 ng ml(-1) h after the racemate, 28 ng ml(-1) h after the enantiomer] (P = 0.0001).",The pharmacokinetics of tranylcypromine enantiomers in healthy subjects after oral administration of racemic drug and the single enantiomers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12959316/),[h·ng] / [ml],130,102115,DB00752,Tranylcypromine
,12959316,AUCs,"AUCs of the (-)-enantiomer [arithmetical means 197 ng ml(-1) h after the racemate, 130 ng ml(-1) h after the enantiomer] were greater than those of the (+)-enantiomer [26 ng ml(-1) h after the racemate, 28 ng ml(-1) h after the enantiomer] (P = 0.0001).",The pharmacokinetics of tranylcypromine enantiomers in healthy subjects after oral administration of racemic drug and the single enantiomers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12959316/),[h·ng] / [ml],26,102116,DB00752,Tranylcypromine
,12959316,AUCs,"AUCs of the (-)-enantiomer [arithmetical means 197 ng ml(-1) h after the racemate, 130 ng ml(-1) h after the enantiomer] were greater than those of the (+)-enantiomer [26 ng ml(-1) h after the racemate, 28 ng ml(-1) h after the enantiomer] (P = 0.0001).",The pharmacokinetics of tranylcypromine enantiomers in healthy subjects after oral administration of racemic drug and the single enantiomers. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12959316/),[h·ng] / [ml],28,102117,DB00752,Tranylcypromine
,3757407,t 1/2,"Elimination of tranylcypromine also was rapid, with a t 1/2 between 1.54 and 3.15 hours.",Pharmacokinetics of tranylcypromine in patients who are depressed: relationship to cardiovascular effects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3757407/),h,1.54 and 3.15,195783,DB00752,Tranylcypromine
,12454950,binding potential (BP),[(11)C]-DASB binding potential (BP) values ranged from about 0.2 in the neocortex to 2.2 in the midbrain.,"[11C]-DASB, a tool for in vivo measurement of SSRI-induced occupancy of the serotonin transporter: PET characterization and evaluation in cats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12454950/),,0.2,202649,DB00752,Tranylcypromine
,12454950,binding potential (BP),[(11)C]-DASB binding potential (BP) values ranged from about 0.2 in the neocortex to 2.2 in the midbrain.,"[11C]-DASB, a tool for in vivo measurement of SSRI-induced occupancy of the serotonin transporter: PET characterization and evaluation in cats. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12454950/),,2.2,202650,DB00752,Tranylcypromine
,1484108,maximum concentrations,"Average maximum concentrations were 57.5 and 6.3 ng/ml for S- and R-tranylcypromine, respectively.",Enantiospecific high-performance liquid chromatographic assay with fluorescence detection for the monoamine oxidase inhibitor tranylcypromine and its applicability in pharmacokinetic studies. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1484108/),[ng] / [ml],57.5,221654,DB00752,Tranylcypromine
,1484108,maximum concentrations,"Average maximum concentrations were 57.5 and 6.3 ng/ml for S- and R-tranylcypromine, respectively.",Enantiospecific high-performance liquid chromatographic assay with fluorescence detection for the monoamine oxidase inhibitor tranylcypromine and its applicability in pharmacokinetic studies. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1484108/),[ng] / [ml],6.3,221655,DB00752,Tranylcypromine
,2376618,Tpeak,Two subjects having delayed (3-4 hours) Tpeak also manifested elevated mean 5hTCP (63.9 vs. 34.1 ng/ml).,Plasma tranylcypromine: relationship to pharmacokinetic variables and clinical antidepressant actions. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2376618/),ng,63.9,249499,DB00752,Tranylcypromine
,2376618,Tpeak,Two subjects having delayed (3-4 hours) Tpeak also manifested elevated mean 5hTCP (63.9 vs. 34.1 ng/ml).,Plasma tranylcypromine: relationship to pharmacokinetic variables and clinical antidepressant actions. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2376618/),ng,34.1,249500,DB00752,Tranylcypromine
