Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,34430604,stable dose,The median stable dose of TRE was 70 ng/kg/min with a range of 55-75 ng/kg/min.,Pharmacokinetics of treprostinil in children with functional single-ventricle pulmonary arterial hypertension: a randomized controlled trial. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34430604/),[ng] / [kg·min],70,7736,DB00374,Treprostinil
,34430604,subliminal dose,The median subliminal dose was 55 ng/kg/min with a range of 25-75 ng/kg/min.,Pharmacokinetics of treprostinil in children with functional single-ventricle pulmonary arterial hypertension: a randomized controlled trial. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34430604/),[ng] / [kg·min],55,7737,DB00374,Treprostinil
,26220250,flow rate,"Relative to a design target of 0.042 mL/hr, the average flow rate of 23 PatchPumps operating for 48 continuous hours was 0.043 ± 0.007 mL/hr as tested in vitro.","In Vitro and In Vivo Performance of a Pre-Filled, Electrochemically-Actuated Infusion System. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26220250/),[ml] / [h],0.043,40776,DB00374,Treprostinil
,26220250,Css,"PK results with an infusion rate of 0.045 mL/hr of treprostinil resulted in mean Css of 297 pg/mL and T1/2 of 4.44 h, comparable to prior studies using conventional infusion pumps.","In Vitro and In Vivo Performance of a Pre-Filled, Electrochemically-Actuated Infusion System. ",Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26220250/),[pg] / [ml],297,40777,DB00374,Treprostinil
,26220250,T1/2,"PK results with an infusion rate of 0.045 mL/hr of treprostinil resulted in mean Css of 297 pg/mL and T1/2 of 4.44 h, comparable to prior studies using conventional infusion pumps.","In Vitro and In Vivo Performance of a Pre-Filled, Electrochemically-Actuated Infusion System. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26220250/),h,4.44,40778,DB00374,Treprostinil
,15243302,elimination half-life,"Secondary pharmacokinetic assessments confirmed the comparability of the two routes of administration at steady state, and also demonstrated that the elimination half-life of treprostinil was 4.4 and 4.6 hours following intravenous and subcutaneous administration, respectively.",Pharmacokinetics and steady-state bioequivalence of treprostinil sodium (Remodulin) administered by the intravenous and subcutaneous route to normal volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15243302/),h,4.4,46923,DB00374,Treprostinil
,15243302,elimination half-life,"Secondary pharmacokinetic assessments confirmed the comparability of the two routes of administration at steady state, and also demonstrated that the elimination half-life of treprostinil was 4.4 and 4.6 hours following intravenous and subcutaneous administration, respectively.",Pharmacokinetics and steady-state bioequivalence of treprostinil sodium (Remodulin) administered by the intravenous and subcutaneous route to normal volunteers. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/15243302/),h,4.6,46924,DB00374,Treprostinil
,23328389,area under the curve (AUC0-12),"After chronic twice-daily oral dosing of treprostinil diolamine, mean area under the curve (AUC0-12) of treprostinil increased from 5244 to 20,4086 pg·hr-·mL- and mean maximum observed plasma concentration (Cmax) increased from 1383 to 33588 pg/mL.",Pharmacokinetics of oral treprostinil sustained release tablets during chronic administration to patients with pulmonary arterial hypertension. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23328389/),hr-·ml·pg,52,106844,DB00374,Treprostinil
,23328389,area under the curve (AUC0-12),"After chronic twice-daily oral dosing of treprostinil diolamine, mean area under the curve (AUC0-12) of treprostinil increased from 5244 to 20,4086 pg·hr-·mL- and mean maximum observed plasma concentration (Cmax) increased from 1383 to 33588 pg/mL.",Pharmacokinetics of oral treprostinil sustained release tablets during chronic administration to patients with pulmonary arterial hypertension. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23328389/),hr-·ml·pg,20,106845,DB00374,Treprostinil
,23328389,maximum observed plasma concentration (Cmax),"After chronic twice-daily oral dosing of treprostinil diolamine, mean area under the curve (AUC0-12) of treprostinil increased from 5244 to 20,4086 pg·hr-·mL- and mean maximum observed plasma concentration (Cmax) increased from 1383 to 33588 pg/mL.",Pharmacokinetics of oral treprostinil sustained release tablets during chronic administration to patients with pulmonary arterial hypertension. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23328389/),[pg] / [ml],138,106846,DB00374,Treprostinil
