Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8676222,peak plasma ATRA level,"After administration of ATRA at a dose of 30 mg/m2, the peak plasma ATRA level was 20-741 ng/ml and was reached at 60-120 min.",4-oxo retinoic acid for refractory acute promyelocytic leukemia in children with all-trans retinoic acid therapy. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8676222/),[ng] / [ml],20-741,2068,DB00755,Tretinoin
,6104581,apparent volume of distribution,The apparent volume of distribution of HPR was approximately 10-12 liter/kg and the terminal half-life was 12 hr.,Pharmacokinetics of N-(4-hydroxyphenyl)-all-trans-retinamide in rats. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6104581/),[l] / [kg],10-12,2689,DB00755,Tretinoin
,6104581,terminal half-life,The apparent volume of distribution of HPR was approximately 10-12 liter/kg and the terminal half-life was 12 hr.,Pharmacokinetics of N-(4-hydroxyphenyl)-all-trans-retinamide in rats. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6104581/),h,12,2690,DB00755,Tretinoin
,1403674,elimination rate constant,"The mean elimination rate constant, calculated from data from iv administration, was 0.72 +/- 0.088 h-1 (r = 0.988).",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,k-Q47,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),1/[h],0.72,2827,DB00755,Tretinoin
,1403674,peak concentration,"The peak concentration in plasma and the time to reach this maximum were 14 mg/L and 0.5 h, 22 mg/L and 2 h, and 10 mg/L and 1 h for the drug administered as an alkaline solution, suspended in corn oil, and as a mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),[mg] / [l],14,2828,DB00755,Tretinoin
,1403674,peak concentration,"The peak concentration in plasma and the time to reach this maximum were 14 mg/L and 0.5 h, 22 mg/L and 2 h, and 10 mg/L and 1 h for the drug administered as an alkaline solution, suspended in corn oil, and as a mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),h,0.5,2829,DB00755,Tretinoin
,1403674,peak concentration,"The peak concentration in plasma and the time to reach this maximum were 14 mg/L and 0.5 h, 22 mg/L and 2 h, and 10 mg/L and 1 h for the drug administered as an alkaline solution, suspended in corn oil, and as a mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),[mg] / [l],22,2830,DB00755,Tretinoin
,1403674,peak concentration,"The peak concentration in plasma and the time to reach this maximum were 14 mg/L and 0.5 h, 22 mg/L and 2 h, and 10 mg/L and 1 h for the drug administered as an alkaline solution, suspended in corn oil, and as a mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),h,2,2831,DB00755,Tretinoin
,1403674,peak concentration,"The peak concentration in plasma and the time to reach this maximum were 14 mg/L and 0.5 h, 22 mg/L and 2 h, and 10 mg/L and 1 h for the drug administered as an alkaline solution, suspended in corn oil, and as a mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),[mg] / [l],10,2832,DB00755,Tretinoin
,1403674,time to reach this maximum,"The peak concentration in plasma and the time to reach this maximum were 14 mg/L and 0.5 h, 22 mg/L and 2 h, and 10 mg/L and 1 h for the drug administered as an alkaline solution, suspended in corn oil, and as a mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),h,0.5,2833,DB00755,Tretinoin
,1403674,time to reach this maximum,"The peak concentration in plasma and the time to reach this maximum were 14 mg/L and 0.5 h, 22 mg/L and 2 h, and 10 mg/L and 1 h for the drug administered as an alkaline solution, suspended in corn oil, and as a mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),[mg] / [l],10,2834,DB00755,Tretinoin
,1403674,time to reach this maximum,"The peak concentration in plasma and the time to reach this maximum were 14 mg/L and 0.5 h, 22 mg/L and 2 h, and 10 mg/L and 1 h for the drug administered as an alkaline solution, suspended in corn oil, and as a mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),h,1,2835,DB00755,Tretinoin
,1403674,areas under the concentration-time curve (concentration in plasma versus time),"The areas under the concentration-time curve (concentration in plasma versus time) were 34.9 +/- 8.78 mg.h/L for the iv dose and 34.1 +/- 9.97, 62.4 +/- 32.3, and 25.9 +/- 12.0 mg.h/L for the ip doses of alkaline solution, suspension in oil, and mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),[h·mg] / [l],34.9,2836,DB00755,Tretinoin
,1403674,areas under the concentration-time curve (concentration in plasma versus time),"The areas under the concentration-time curve (concentration in plasma versus time) were 34.9 +/- 8.78 mg.h/L for the iv dose and 34.1 +/- 9.97, 62.4 +/- 32.3, and 25.9 +/- 12.0 mg.h/L for the ip doses of alkaline solution, suspension in oil, and mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),[h·mg] / [l],34.1,2837,DB00755,Tretinoin
,1403674,areas under the concentration-time curve (concentration in plasma versus time),"The areas under the concentration-time curve (concentration in plasma versus time) were 34.9 +/- 8.78 mg.h/L for the iv dose and 34.1 +/- 9.97, 62.4 +/- 32.3, and 25.9 +/- 12.0 mg.h/L for the ip doses of alkaline solution, suspension in oil, and mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),[h·mg] / [l],62.4,2838,DB00755,Tretinoin
,1403674,areas under the concentration-time curve (concentration in plasma versus time),"The areas under the concentration-time curve (concentration in plasma versus time) were 34.9 +/- 8.78 mg.h/L for the iv dose and 34.1 +/- 9.97, 62.4 +/- 32.3, and 25.9 +/- 12.0 mg.h/L for the ip doses of alkaline solution, suspension in oil, and mixture with polysorbate 80, respectively.",Pharmacokinetics of parenteral 13-cis-retinoic acid formulations in rats. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1403674/),[h·mg] / [l],25.9,2839,DB00755,Tretinoin
,23909409,half-lives,"Thus, the mean half-lives of alitretinoin were 5·3 and 5·6 h (P = 0.733) and the oral clearances were 1·92 and 1·39 L h(-1) kg(-1) (P = 0·243) in the patient group and the healthy control group, respectively.",The single-dose pharmacokinetics of alitretinoin and its metabolites are not significantly altered in patients with cirrhosis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23909409/),h,5·3,4409,DB00755,Tretinoin
,23909409,half-lives,"Thus, the mean half-lives of alitretinoin were 5·3 and 5·6 h (P = 0.733) and the oral clearances were 1·92 and 1·39 L h(-1) kg(-1) (P = 0·243) in the patient group and the healthy control group, respectively.",The single-dose pharmacokinetics of alitretinoin and its metabolites are not significantly altered in patients with cirrhosis. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23909409/),h,5·6,4410,DB00755,Tretinoin
,23909409,oral clearances,"Thus, the mean half-lives of alitretinoin were 5·3 and 5·6 h (P = 0.733) and the oral clearances were 1·92 and 1·39 L h(-1) kg(-1) (P = 0·243) in the patient group and the healthy control group, respectively.",The single-dose pharmacokinetics of alitretinoin and its metabolites are not significantly altered in patients with cirrhosis. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23909409/),[l] / [h·kg],1·92,4411,DB00755,Tretinoin
,23909409,oral clearances,"Thus, the mean half-lives of alitretinoin were 5·3 and 5·6 h (P = 0.733) and the oral clearances were 1·92 and 1·39 L h(-1) kg(-1) (P = 0·243) in the patient group and the healthy control group, respectively.",The single-dose pharmacokinetics of alitretinoin and its metabolites are not significantly altered in patients with cirrhosis. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23909409/),[l] / [h·kg],1·39,4412,DB00755,Tretinoin
