Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2760794,Total urinary excretion,"Total urinary excretion (0-48 h) was 2.8% and 3.0% of the dose in healthy volunteers and patients with renal dysfunction, respectively.",The metabolism and excretion of trimethadione in patients with percutaneous transhepatic biliary drainage and renal dysfunction. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2760794/),%,2.8,13078,DB00347,Trimethadione
,2760794,Total urinary excretion,"Total urinary excretion (0-48 h) was 2.8% and 3.0% of the dose in healthy volunteers and patients with renal dysfunction, respectively.",The metabolism and excretion of trimethadione in patients with percutaneous transhepatic biliary drainage and renal dysfunction. ,ke-Q50,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2760794/),%,3.0,13079,DB00347,Trimethadione
,7582861,t1/2,"The elimination patterns of TMO in liver, blood and brain dialyzates were almost identical and the calculated t1/2 was approximately 3 hr in each sample.","Pharmacokinetic study of trimethadione and its metabolite in blood, liver and brain by microdialysis in conscious, unrestrained rats. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7582861/),h,3,19628,DB00347,Trimethadione
,7299621,Recoveries,Recoveries of TMO and DMO ranged from 96 to 104% using a 0.1 ml of plasma.,Pharmacokinetic studies of trimethadione and its metabolite in rats with chemical-induced liver injury. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7299621/),%,96 to 104,65544,DB00347,Trimethadione
,7299621,half-life,"After an oral administration of TMO at a dose of 100 mg/kg, mean plasma levels of TMO and DMO in 6 rats reached a peak of 98 microgram/ml at 0.6 h and 163 microgram/ml at 8 h and declined with a half-life of 2.2 h and 39.4 h, respectively.",Pharmacokinetic studies of trimethadione and its metabolite in rats with chemical-induced liver injury. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7299621/),h,2.2,65545,DB00347,Trimethadione
,7299621,half-life,"After an oral administration of TMO at a dose of 100 mg/kg, mean plasma levels of TMO and DMO in 6 rats reached a peak of 98 microgram/ml at 0.6 h and 163 microgram/ml at 8 h and declined with a half-life of 2.2 h and 39.4 h, respectively.",Pharmacokinetic studies of trimethadione and its metabolite in rats with chemical-induced liver injury. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7299621/),h,39.4,65546,DB00347,Trimethadione
,7299621,half-lives,"After the intravenous administration of TMO at a dose of 100 microgram/kg, half-lives of TMO and DMO were 2.5 h and 39.1 h, respectively.",Pharmacokinetic studies of trimethadione and its metabolite in rats with chemical-induced liver injury. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7299621/),h,2.5,65547,DB00347,Trimethadione
,7299621,half-lives,"After the intravenous administration of TMO at a dose of 100 microgram/kg, half-lives of TMO and DMO were 2.5 h and 39.1 h, respectively.",Pharmacokinetic studies of trimethadione and its metabolite in rats with chemical-induced liver injury. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/7299621/),h,39.1,65548,DB00347,Trimethadione
,1761736,total body clearance,"Diltiazem decreased the total body clearance from 34.0 +/- 8.0 to 28.6 +/- 6.1 mL/min (P less than .01), and prolonged the elimination half-life from 12.6 +/- 3.0 to 14.3 +/- 2.5 hours (P less than .01) of antipyrine without any changes in volume of distribution.",The effect of diltiazem on hepatic drug oxidation assessed by antipyrine and trimethadione. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1761736/),[ml] / [min],34.0,113680,DB00347,Trimethadione
,1761736,total body clearance,"Diltiazem decreased the total body clearance from 34.0 +/- 8.0 to 28.6 +/- 6.1 mL/min (P less than .01), and prolonged the elimination half-life from 12.6 +/- 3.0 to 14.3 +/- 2.5 hours (P less than .01) of antipyrine without any changes in volume of distribution.",The effect of diltiazem on hepatic drug oxidation assessed by antipyrine and trimethadione. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1761736/),[ml] / [min],28.6,113681,DB00347,Trimethadione
,1761736,elimination half-life,"Diltiazem decreased the total body clearance from 34.0 +/- 8.0 to 28.6 +/- 6.1 mL/min (P less than .01), and prolonged the elimination half-life from 12.6 +/- 3.0 to 14.3 +/- 2.5 hours (P less than .01) of antipyrine without any changes in volume of distribution.",The effect of diltiazem on hepatic drug oxidation assessed by antipyrine and trimethadione. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1761736/),h,12.6,113682,DB00347,Trimethadione
,1761736,elimination half-life,"Diltiazem decreased the total body clearance from 34.0 +/- 8.0 to 28.6 +/- 6.1 mL/min (P less than .01), and prolonged the elimination half-life from 12.6 +/- 3.0 to 14.3 +/- 2.5 hours (P less than .01) of antipyrine without any changes in volume of distribution.",The effect of diltiazem on hepatic drug oxidation assessed by antipyrine and trimethadione. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1761736/),h,14.3,113683,DB00347,Trimethadione
,1761736,cumulative renal excretion,The cumulative renal excretion (% dose) of antipyrine was significantly increased from 2.23 +/- 0.73 to 2.78 +/- 0.83% (P less than .05).,The effect of diltiazem on hepatic drug oxidation assessed by antipyrine and trimethadione. ,FR-Q43,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1761736/),%,2.23,113684,DB00347,Trimethadione
,1761736,cumulative renal excretion,The cumulative renal excretion (% dose) of antipyrine was significantly increased from 2.23 +/- 0.73 to 2.78 +/- 0.83% (P less than .05).,The effect of diltiazem on hepatic drug oxidation assessed by antipyrine and trimethadione. ,FR-Q43,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1761736/),%,2.78,113685,DB00347,Trimethadione
,1761736,Clearances of production,"Clearances of production for three major antipyrine metabolites, norantipyrine (4.31 +/- 1.64 to 3.50 +/- 1.28 mL/min, P less than .01), 3-hydroxymethylantipyrine (4.67 +/- 1.63 to 3.82 +/- 1.34 mL/min, P less than .01) and 4-hydroxyantipyrine (10.47 +/- 3.41 to 8.16 +/- 2.82 mL/min, P less than .01) were reduced significantly by diltiazem.",The effect of diltiazem on hepatic drug oxidation assessed by antipyrine and trimethadione. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1761736/),[ml] / [min],4.31,113686,DB00347,Trimethadione
,1761736,Clearances of production,"Clearances of production for three major antipyrine metabolites, norantipyrine (4.31 +/- 1.64 to 3.50 +/- 1.28 mL/min, P less than .01), 3-hydroxymethylantipyrine (4.67 +/- 1.63 to 3.82 +/- 1.34 mL/min, P less than .01) and 4-hydroxyantipyrine (10.47 +/- 3.41 to 8.16 +/- 2.82 mL/min, P less than .01) were reduced significantly by diltiazem.",The effect of diltiazem on hepatic drug oxidation assessed by antipyrine and trimethadione. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1761736/),[ml] / [min],3.50,113687,DB00347,Trimethadione
