Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,14601469,Peak concentrations,"Peak concentrations of trimethoprim in plasma and skin blister fluid were 8.5 +/- 1.1 mumol/L after 3 +/- 1 h and 5.6 +/- 0.8 mumol/L after 7 +/- 2 h, respectively.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),[μM] / [l],8.5,1041,DB00440,Trimethoprim
,14601469,Peak concentrations,"Peak concentrations of trimethoprim in plasma and skin blister fluid were 8.5 +/- 1.1 mumol/L after 3 +/- 1 h and 5.6 +/- 0.8 mumol/L after 7 +/- 2 h, respectively.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),[μM] / [l],5.6,1042,DB00440,Trimethoprim
,14601469,peak concentration,"In the theoretical peripheral compartment, peak concentration was 5.8 +/- 2.2 mumol/L after 9 +/- 6 h.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),[μM] / [l],5.8,1043,DB00440,Trimethoprim
,14601469,Half-times,"Half-times of trimethoprim in plasma and skin blister fluid were 11.1 +/- 4.5 h and 12.3 +/- 4.9 h, respectively, and did not differ significantly.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),h,11.1,1044,DB00440,Trimethoprim
,14601469,Half-times,"Half-times of trimethoprim in plasma and skin blister fluid were 11.1 +/- 4.5 h and 12.3 +/- 4.9 h, respectively, and did not differ significantly.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),h,12.3,1045,DB00440,Trimethoprim
,14601469,Peak concentrations,"Peak concentrations of sulphamethoxazole in plasma and skin blister fluid were 295 +/- 47 mumol/L after 3 +/- 1 h and 182 +/- 46 mumol/L after 8 +/- 2 h, respectively.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),[μM] / [l],295,1046,DB00440,Trimethoprim
,14601469,Peak concentrations,"Peak concentrations of sulphamethoxazole in plasma and skin blister fluid were 295 +/- 47 mumol/L after 3 +/- 1 h and 182 +/- 46 mumol/L after 8 +/- 2 h, respectively.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),[μM] / [l],182,1047,DB00440,Trimethoprim
,14601469,peak concentration,"In the theoretical peripheral compartment, peak concentration was 239 +/- 58 mumol/L after 7 +/- 4 h.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),[μM] / [l],239,1048,DB00440,Trimethoprim
,14601469,Half-times,"Half-times of sulphamethoxazole in skin blister fluid and plasma were 9.7 +/- 3.3 h and 10.0 +/- 1.1 h, respectively and did not differ significantly.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),h,9.7,1049,DB00440,Trimethoprim
,14601469,Half-times,"Half-times of sulphamethoxazole in skin blister fluid and plasma were 9.7 +/- 3.3 h and 10.0 +/- 1.1 h, respectively and did not differ significantly.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),h,10.0,1050,DB00440,Trimethoprim
,14601469,degree of penetration,"The drug penetrated into blister fluid to a high extent, although less than trimethoprim, the degree of penetration being 0.82 +/- 0.21.",[Skin penetration of sulfamethoxazole and trimethoprim after oral administration]. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14601469/),,0.82,1051,DB00440,Trimethoprim
,3438229,elimination half-life,The elimination half-life was much shorter in goats (23 +/- 4 min.) than in pigs (169 +/- 17 min.).,Pharmacokinetics and metabolism of metioprim in pigs and goats. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3438229/),min,23,2187,DB00440,Trimethoprim
,3438229,elimination half-life,The elimination half-life was much shorter in goats (23 +/- 4 min.) than in pigs (169 +/- 17 min.).,Pharmacokinetics and metabolism of metioprim in pigs and goats. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3438229/),min,169,2188,DB00440,Trimethoprim
exceeded,3438229,apparent volume of distribution,The apparent volume of distribution exceeded 1.0 1/kg b.wt. in both species indicating accumulation in tissues.,Pharmacokinetics and metabolism of metioprim in pigs and goats. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3438229/),[1] / [b·kg·wt],1.0,2189,DB00440,Trimethoprim
,2705795,half life,In these infants trimethoprim had a mean half life of 4.6 hours; this was comparable with the values found in young and school age children (3.8 and 5.4 hours respectively) and about a quarter of the half life in newborns.,Changes in trimethoprim pharmacokinetics after the newborn period. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2705795/),h,4.6,8310,DB00440,Trimethoprim
,2705795,half life,In these infants trimethoprim had a mean half life of 4.6 hours; this was comparable with the values found in young and school age children (3.8 and 5.4 hours respectively) and about a quarter of the half life in newborns.,Changes in trimethoprim pharmacokinetics after the newborn period. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2705795/),h,3.8,8311,DB00440,Trimethoprim
,2705795,half life,In these infants trimethoprim had a mean half life of 4.6 hours; this was comparable with the values found in young and school age children (3.8 and 5.4 hours respectively) and about a quarter of the half life in newborns.,Changes in trimethoprim pharmacokinetics after the newborn period. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2705795/),h,5.4,8312,DB00440,Trimethoprim
,2705795,volume of distribution,The volume of distribution (1.5 l/kg) was smaller than in newborns but larger than in young or school age children (0.9 and 1.1 l/kg respectively).,Changes in trimethoprim pharmacokinetics after the newborn period. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2705795/),[l] / [kg],1.5,8313,DB00440,Trimethoprim
,2705795,volume of distribution,The volume of distribution (1.5 l/kg) was smaller than in newborns but larger than in young or school age children (0.9 and 1.1 l/kg respectively).,Changes in trimethoprim pharmacokinetics after the newborn period. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2705795/),[l] / [kg],0.9,8314,DB00440,Trimethoprim
