Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11878186,pKi,Receptor binding studies on the cloned human muscarinic receptors indicated that the new soft anticholinergic agents possessed moderate potency as pKi ranged from 6.7 to 7.6.,"Design, pharmacokinetic, and pharmacodynamic evaluation of soft anticholinergics based on tropyl alpha-phenylcyclopentylacetate. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11878186/),,6.7,50908,DB00809,Tropicamide
,11878186,pKi,Receptor binding studies on the cloned human muscarinic receptors indicated that the new soft anticholinergic agents possessed moderate potency as pKi ranged from 6.7 to 7.6.,"Design, pharmacokinetic, and pharmacodynamic evaluation of soft anticholinergics based on tropyl alpha-phenylcyclopentylacetate. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11878186/),,7.6,50909,DB00809,Tropicamide
,11878186,duration of,"Mydriatic studies in rabbit eyes revealed that the duration of the action of the new soft anticholinergics (8.5-11.0 h) were shorter than that of atropine (about 24 h) under pharmacodynamic equivalent dose, and one of them, 18a, showed even shorter than that of tropicamide.","Design, pharmacokinetic, and pharmacodynamic evaluation of soft anticholinergics based on tropyl alpha-phenylcyclopentylacetate. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11878186/),h,8.5-11.0,50910,DB00809,Tropicamide
,11878186,duration of,"Mydriatic studies in rabbit eyes revealed that the duration of the action of the new soft anticholinergics (8.5-11.0 h) were shorter than that of atropine (about 24 h) under pharmacodynamic equivalent dose, and one of them, 18a, showed even shorter than that of tropicamide.","Design, pharmacokinetic, and pharmacodynamic evaluation of soft anticholinergics based on tropyl alpha-phenylcyclopentylacetate. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11878186/),h,24,50911,DB00809,Tropicamide
,14620526,pKi,Receptor binding studies of the soft anticholinergics on cloned muscarinic receptors indicated pKi values in the range of 7.5 to 8.9.,"Design, pharmacokinetic, and pharmacodynamic evaluation of a new class of soft anticholinergics. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/14620526/),,7.5 to 8.9,73399,DB00809,Tropicamide
,32320311,Cmax,"The highest concentration of tropicamide was found in aqueous humor (Cmax: 29430 ng/g), while was in cornea for phenylephrine (Cmax: 3465 ng/g).",An UPLC-MS/MS Method for Simultaneous Determination of Tropicamide and Phenylephrine in Rabbit Ocular Tissues and Plasma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32320311/),[ng] / [g],29430,123437,DB00809,Tropicamide
,32320311,Cmax,"The highest concentration of tropicamide was found in aqueous humor (Cmax: 29430 ng/g), while was in cornea for phenylephrine (Cmax: 3465 ng/g).",An UPLC-MS/MS Method for Simultaneous Determination of Tropicamide and Phenylephrine in Rabbit Ocular Tissues and Plasma. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32320311/),[ng] / [g],3465,123438,DB00809,Tropicamide
,8083562,peak concentration,Tropicamide was rapidly absorbed systemically with the mean peak concentration in plasma being 2.8 +/- 1.7 ng/ml (mean +/- SD) at five minutes after instillation.,Systemic absorption and anticholinergic activity of topically applied tropicamide. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8083562/),[ng] / [ml],2.8,160339,DB00809,Tropicamide
,8083562,drug concentration,Tropicamide disappeared rapidly from the systemic circulation: drug concentration in plasma was 0.46 +/- 0.51 ng/ml (mean +/- SD) at 60 minutes and below 240 pg/ml at 120 minutes after instillation.,Systemic absorption and anticholinergic activity of topically applied tropicamide. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8083562/),[ng] / [ml],0.46,160340,DB00809,Tropicamide
,8083562,apparent equilibrium binding constant (Ki-value,"Tropicamide bound to muscarinic receptors of rat brain with an apparent equilibrium binding constant (Ki-value in plasma) 220 +/- 25 nM (mean +/- SD, n = 3).",Systemic absorption and anticholinergic activity of topically applied tropicamide. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8083562/),nM,220,160341,DB00809,Tropicamide
