Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,28747995,Ki,"Considering a typical dosing regimen and applying the obtained Ki values of 0.72 µM (darifenacin, 15 mg daily) and 7.2 µM [propiverine, 30 mg daily, immediate release (IR)] for the inhibition of CYP2D6 yielded a predicted 1.9-fold and 1.4-fold increase in the area under the curve (AUC) of debrisoquine (CYP2D6 substrate), respectively.",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,0.72,620,DB00209,Trospium
,28747995,Ki,"Considering a typical dosing regimen and applying the obtained Ki values of 0.72 µM (darifenacin, 15 mg daily) and 7.2 µM [propiverine, 30 mg daily, immediate release (IR)] for the inhibition of CYP2D6 yielded a predicted 1.9-fold and 1.4-fold increase in the area under the curve (AUC) of debrisoquine (CYP2D6 substrate), respectively.",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,7.2,621,DB00209,Trospium
,28747995,Ki,"Due to the inhibition of the particular intestinal CYP3A4, the obtained Ki values of 14 µM of propiverine (30 mg daily, IR) resulted in a predicted doubling of the AUC for midazolam (CYP3A4 substrate).",Assessment of inhibitory effects on major human cytochrome P450 enzymes by spasmolytics used in the treatment of overactive bladder syndrome. ,Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28747995/),μM,14,622,DB00209,Trospium
,15516023,C(max),C(max) (median: 6.42 ng/ml) and AUC(0.tlast) (42.28 ng/ml x h) were highest and t(max) (3.5 h) was shortest after administration of the reference tablet.,Absorption pattern of trospium chloride along the human gastrointestinal tract assessed using local enteral administration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15516023/),[ng] / [ml],6.42,789,DB00209,Trospium
,15516023,AUC(0.tlast),C(max) (median: 6.42 ng/ml) and AUC(0.tlast) (42.28 ng/ml x h) were highest and t(max) (3.5 h) was shortest after administration of the reference tablet.,Absorption pattern of trospium chloride along the human gastrointestinal tract assessed using local enteral administration. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15516023/),[ng] / [h·ml],42.28,790,DB00209,Trospium
,15516023,t(max),C(max) (median: 6.42 ng/ml) and AUC(0.tlast) (42.28 ng/ml x h) were highest and t(max) (3.5 h) was shortest after administration of the reference tablet.,Absorption pattern of trospium chloride along the human gastrointestinal tract assessed using local enteral administration. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15516023/),h,3.5,791,DB00209,Trospium
,25466967,Km,"TC was shown to be a substrate of OATP1A2 (Km = 6.9 ± 1.3 μmol/L; Vmax = 41.6 ± 1.8 pmol/mg·min), OCT1 (Km = 106 ± 16 μmol/L; Vmax = 269 ± 18 pmol/mg·min), and P-gp (Km = 34.9 ± 7.5 μmol/L; Vmax = 105 ± 9.1 pmol/mg·min, lipovesicle assay).",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[μM] / [l],6.9,18726,DB00209,Trospium
,25466967,Vmax,"TC was shown to be a substrate of OATP1A2 (Km = 6.9 ± 1.3 μmol/L; Vmax = 41.6 ± 1.8 pmol/mg·min), OCT1 (Km = 106 ± 16 μmol/L; Vmax = 269 ± 18 pmol/mg·min), and P-gp (Km = 34.9 ± 7.5 μmol/L; Vmax = 105 ± 9.1 pmol/mg·min, lipovesicle assay).",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,Vmax-Q66,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[pM] / [mg·min],41.6,18727,DB00209,Trospium
,25466967,Km,"TC was shown to be a substrate of OATP1A2 (Km = 6.9 ± 1.3 μmol/L; Vmax = 41.6 ± 1.8 pmol/mg·min), OCT1 (Km = 106 ± 16 μmol/L; Vmax = 269 ± 18 pmol/mg·min), and P-gp (Km = 34.9 ± 7.5 μmol/L; Vmax = 105 ± 9.1 pmol/mg·min, lipovesicle assay).",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[μM] / [l],106,18728,DB00209,Trospium
,25466967,Vmax,"TC was shown to be a substrate of OATP1A2 (Km = 6.9 ± 1.3 μmol/L; Vmax = 41.6 ± 1.8 pmol/mg·min), OCT1 (Km = 106 ± 16 μmol/L; Vmax = 269 ± 18 pmol/mg·min), and P-gp (Km = 34.9 ± 7.5 μmol/L; Vmax = 105 ± 9.1 pmol/mg·min, lipovesicle assay).",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,Vmax-Q66,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[pM] / [mg·min],269,18729,DB00209,Trospium
,25466967,Km,"TC was shown to be a substrate of OATP1A2 (Km = 6.9 ± 1.3 μmol/L; Vmax = 41.6 ± 1.8 pmol/mg·min), OCT1 (Km = 106 ± 16 μmol/L; Vmax = 269 ± 18 pmol/mg·min), and P-gp (Km = 34.9 ± 7.5 μmol/L; Vmax = 105 ± 9.1 pmol/mg·min, lipovesicle assay).",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[μM] / [l],34.9,18730,DB00209,Trospium
,25466967,Vmax,"TC was shown to be a substrate of OATP1A2 (Km = 6.9 ± 1.3 μmol/L; Vmax = 41.6 ± 1.8 pmol/mg·min), OCT1 (Km = 106 ± 16 μmol/L; Vmax = 269 ± 18 pmol/mg·min), and P-gp (Km = 34.9 ± 7.5 μmol/L; Vmax = 105 ± 9.1 pmol/mg·min, lipovesicle assay).",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,Vmax-Q66,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[pM] / [mg·min],105,18731,DB00209,Trospium
,25466967,Km,"TC was taken up into HBU cells (Km = 18.5 ± 4.8 μmol/L; Vmax = 106 ± 11.3 pmol/mg·min) by mechanisms that could be synergistically inhibited by naringin (IC50 = 10.8 (8.4; 13.8) μmol/L) and verapamil (IC50 = 4.6 (2.8; 7.5) μmol/L), inhibitors of OATP1A2 and OCT1, respectively.",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,Km -Q1,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[μM] / [l],18.5,18732,DB00209,Trospium
,25466967,Vmax,"TC was taken up into HBU cells (Km = 18.5 ± 4.8 μmol/L; Vmax = 106 ± 11.3 pmol/mg·min) by mechanisms that could be synergistically inhibited by naringin (IC50 = 10.8 (8.4; 13.8) μmol/L) and verapamil (IC50 = 4.6 (2.8; 7.5) μmol/L), inhibitors of OATP1A2 and OCT1, respectively.",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,Vmax-Q66,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[pM] / [mg·min],106,18733,DB00209,Trospium
,25466967,IC50,"TC was taken up into HBU cells (Km = 18.5 ± 4.8 μmol/L; Vmax = 106 ± 11.3 pmol/mg·min) by mechanisms that could be synergistically inhibited by naringin (IC50 = 10.8 (8.4; 13.8) μmol/L) and verapamil (IC50 = 4.6 (2.8; 7.5) μmol/L), inhibitors of OATP1A2 and OCT1, respectively.",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[μM] / [l],10.8,18734,DB00209,Trospium
,25466967,IC50,"TC was taken up into HBU cells (Km = 18.5 ± 4.8 μmol/L; Vmax = 106 ± 11.3 pmol/mg·min) by mechanisms that could be synergistically inhibited by naringin (IC50 = 10.8 (8.4; 13.8) μmol/L) and verapamil (IC50 = 4.6 (2.8; 7.5) μmol/L), inhibitors of OATP1A2 and OCT1, respectively.",Expression of drug transporters and drug metabolizing enzymes in the bladder urothelium in man and affinity of the bladder spasmolytic trospium chloride to transporters likely involved in its pharmacokinetics. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25466967/),[μM] / [l],4.6,18735,DB00209,Trospium
,19948948,area under the concentration-time curve from 0 to 24 hours,"With multiple dosing of trospium 60 mg extended-release once daily versus 20 mg twice daily, lower geometric least squares mean area under the concentration-time curve from 0 to 24 hours (17 360 vs 28 590 pg.h/mL; ratio 61%; 90% confidence interval, 51-72) and maximum plasma concentration (1517 vs 2502 pg/mL; 61%; 90% confidence interval, 49-75) are observed.",Pharmacokinetics of once-daily trospium chloride 60 mg extended release and twice-daily trospium chloride 20 mg in healthy adults. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19948948/),[h·pg] / [ml],17 360,24492,DB00209,Trospium
,19948948,area under the concentration-time curve from 0 to 24 hours,"With multiple dosing of trospium 60 mg extended-release once daily versus 20 mg twice daily, lower geometric least squares mean area under the concentration-time curve from 0 to 24 hours (17 360 vs 28 590 pg.h/mL; ratio 61%; 90% confidence interval, 51-72) and maximum plasma concentration (1517 vs 2502 pg/mL; 61%; 90% confidence interval, 49-75) are observed.",Pharmacokinetics of once-daily trospium chloride 60 mg extended release and twice-daily trospium chloride 20 mg in healthy adults. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19948948/),[h·pg] / [ml],28 590,24493,DB00209,Trospium
,19948948,maximum plasma concentration,"With multiple dosing of trospium 60 mg extended-release once daily versus 20 mg twice daily, lower geometric least squares mean area under the concentration-time curve from 0 to 24 hours (17 360 vs 28 590 pg.h/mL; ratio 61%; 90% confidence interval, 51-72) and maximum plasma concentration (1517 vs 2502 pg/mL; 61%; 90% confidence interval, 49-75) are observed.",Pharmacokinetics of once-daily trospium chloride 60 mg extended release and twice-daily trospium chloride 20 mg in healthy adults. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19948948/),[pg] / [ml],1517,24494,DB00209,Trospium
,19948948,maximum plasma concentration,"With multiple dosing of trospium 60 mg extended-release once daily versus 20 mg twice daily, lower geometric least squares mean area under the concentration-time curve from 0 to 24 hours (17 360 vs 28 590 pg.h/mL; ratio 61%; 90% confidence interval, 51-72) and maximum plasma concentration (1517 vs 2502 pg/mL; 61%; 90% confidence interval, 49-75) are observed.",Pharmacokinetics of once-daily trospium chloride 60 mg extended release and twice-daily trospium chloride 20 mg in healthy adults. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19948948/),[pg] / [ml],2502,24495,DB00209,Trospium
,19948948,time to maximum plasma concentration,"Furthermore, with trospium 60 mg extended-release versus 20 mg, median time to maximum plasma concentration is later (5.0 vs 4.5 hours) and half-life is longer (35.8 vs 27.2 hours).",Pharmacokinetics of once-daily trospium chloride 60 mg extended release and twice-daily trospium chloride 20 mg in healthy adults. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19948948/),h,5.0,24496,DB00209,Trospium
,19948948,time to maximum plasma concentration,"Furthermore, with trospium 60 mg extended-release versus 20 mg, median time to maximum plasma concentration is later (5.0 vs 4.5 hours) and half-life is longer (35.8 vs 27.2 hours).",Pharmacokinetics of once-daily trospium chloride 60 mg extended release and twice-daily trospium chloride 20 mg in healthy adults. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19948948/),h,4.5,24497,DB00209,Trospium
,19948948,half-life,"Furthermore, with trospium 60 mg extended-release versus 20 mg, median time to maximum plasma concentration is later (5.0 vs 4.5 hours) and half-life is longer (35.8 vs 27.2 hours).",Pharmacokinetics of once-daily trospium chloride 60 mg extended release and twice-daily trospium chloride 20 mg in healthy adults. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19948948/),h,35.8,24498,DB00209,Trospium
,19948948,half-life,"Furthermore, with trospium 60 mg extended-release versus 20 mg, median time to maximum plasma concentration is later (5.0 vs 4.5 hours) and half-life is longer (35.8 vs 27.2 hours).",Pharmacokinetics of once-daily trospium chloride 60 mg extended release and twice-daily trospium chloride 20 mg in healthy adults. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19948948/),h,27.2,24499,DB00209,Trospium
