Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,12177691,K(i),"DPC423, 1-[3-(aminomethyl)phenyl]-N-[3-fluoro-2'-(methylsulfonyl)[1,1'-biphenyl]-4-yl]-3-(trifluoromethyl)-1H-pyrazole-5-carboxamide, is a synthetic, orally bioavailable, competitive, and selective inhibitor of human coagulation factor Xa (K(i) [nM]: factor Xa, 0.15; trypsin, 60; thrombin, 6000; plasma kallikrein, 61; activated protein C, 1800; factor IXa, 2200; factor VIIa, >15,000; chymotrypsin, >17,000; urokinase, >19,000; plasmin, >35,000; tissue plasminogen activator, >45,000; complement factor I, 44,000 [IC(50)]).","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),nM,0.15,7185,DB00013,Urokinase
,12177691,K(i),"DPC423, 1-[3-(aminomethyl)phenyl]-N-[3-fluoro-2'-(methylsulfonyl)[1,1'-biphenyl]-4-yl]-3-(trifluoromethyl)-1H-pyrazole-5-carboxamide, is a synthetic, orally bioavailable, competitive, and selective inhibitor of human coagulation factor Xa (K(i) [nM]: factor Xa, 0.15; trypsin, 60; thrombin, 6000; plasma kallikrein, 61; activated protein C, 1800; factor IXa, 2200; factor VIIa, >15,000; chymotrypsin, >17,000; urokinase, >19,000; plasmin, >35,000; tissue plasminogen activator, >45,000; complement factor I, 44,000 [IC(50)]).","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",Ki-Q11,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),nM,44,7186,DB00013,Urokinase
,12177691,oral bioavailability,"In dogs, DPC423 had a good pharmacokinetic profile with an oral bioavailability of 57%, a plasma clearance of 0.24 L/kg/h, and a plasma half-life of 7.5 h.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),%,57,7187,DB00013,Urokinase
,12177691,plasma clearance,"In dogs, DPC423 had a good pharmacokinetic profile with an oral bioavailability of 57%, a plasma clearance of 0.24 L/kg/h, and a plasma half-life of 7.5 h.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),[l] / [h·kg],0.24,7188,DB00013,Urokinase
,12177691,plasma half-life,"In dogs, DPC423 had a good pharmacokinetic profile with an oral bioavailability of 57%, a plasma clearance of 0.24 L/kg/h, and a plasma half-life of 7.5 h.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),h,7.5,7189,DB00013,Urokinase
,12177691,IC(50),"In rabbit and rat models of arteriovenous shunt thrombosis, DPC423 was an effective antithrombotic agent with an IC(50) of 150 and 470 nM, respectively.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),nM,150,7190,DB00013,Urokinase
,12177691,IC(50),"In rabbit and rat models of arteriovenous shunt thrombosis, DPC423 was an effective antithrombotic agent with an IC(50) of 150 and 470 nM, respectively.","Nonpeptide factor Xa inhibitors: DPC423, a highly potent and orally bioavailable pyrazole antithrombotic agent. ",IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/12177691/),nM,470,7191,DB00013,Urokinase
,3612530,alpha T1/2,"After bolus i.v. injection in rabbits with 2.5 kg. b.wt., the disappearance rate of all three forms from plasma could be described by a two-compartment disposition model with the following pharmacokinetic parameters: alpha T1/2, 3.2 to 3.9 min; beta T1/2, 15 to 16 min; volume of the central compartment, 170 to 200 ml; total volume of distribution, 660 to 910 ml; and plasma clearance, 18 to 22 ml/min.",Pharmacokinetics of single chain forms of urokinase-type plasminogen activator. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3612530/),min,3.2 to 3.9,9709,DB00013,Urokinase
,3612530,beta T1/2,"After bolus i.v. injection in rabbits with 2.5 kg. b.wt., the disappearance rate of all three forms from plasma could be described by a two-compartment disposition model with the following pharmacokinetic parameters: alpha T1/2, 3.2 to 3.9 min; beta T1/2, 15 to 16 min; volume of the central compartment, 170 to 200 ml; total volume of distribution, 660 to 910 ml; and plasma clearance, 18 to 22 ml/min.",Pharmacokinetics of single chain forms of urokinase-type plasminogen activator. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3612530/),min,15 to 16,9710,DB00013,Urokinase
,3612530,volume of the central compartment,"After bolus i.v. injection in rabbits with 2.5 kg. b.wt., the disappearance rate of all three forms from plasma could be described by a two-compartment disposition model with the following pharmacokinetic parameters: alpha T1/2, 3.2 to 3.9 min; beta T1/2, 15 to 16 min; volume of the central compartment, 170 to 200 ml; total volume of distribution, 660 to 910 ml; and plasma clearance, 18 to 22 ml/min.",Pharmacokinetics of single chain forms of urokinase-type plasminogen activator. ,V1-Q63,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3612530/),ml,170 to 200,9711,DB00013,Urokinase
