Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,11736882,Cmax,"Bile acids decreased the Cmax (ng ml(-1)) [control 10.9 +/- 5.8 (mean+/- s.d.), UDCA 5.0 +/- 4.7 (95% confidence interval for difference; 3.9, 7.8, P = 0.0006), CDCA (600 mg) 5.0 +/- 3.9 (2.6, 9.2, P = 0.0059)] and AUC (ng ml(-1) h) [(control; 60 +/- 36, UDCA 15 +/- 13 (20, 73, P = 0.0064), CDCA (600 mg) 19 +/- 19 (21, 63, P = 0.0038)] of nitrendipine, while elimination half-life remained unchanged.",Effect of bile acids on absorption of nitrendipine in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736882/),[ng] / [ml],10.9,8924,DB01586,Ursodeoxycholic acid
,11736882,Cmax,"Bile acids decreased the Cmax (ng ml(-1)) [control 10.9 +/- 5.8 (mean+/- s.d.), UDCA 5.0 +/- 4.7 (95% confidence interval for difference; 3.9, 7.8, P = 0.0006), CDCA (600 mg) 5.0 +/- 3.9 (2.6, 9.2, P = 0.0059)] and AUC (ng ml(-1) h) [(control; 60 +/- 36, UDCA 15 +/- 13 (20, 73, P = 0.0064), CDCA (600 mg) 19 +/- 19 (21, 63, P = 0.0038)] of nitrendipine, while elimination half-life remained unchanged.",Effect of bile acids on absorption of nitrendipine in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736882/),[ng] / [ml],5.0,8925,DB01586,Ursodeoxycholic acid
,11736882,Cmax,"Bile acids decreased the Cmax (ng ml(-1)) [control 10.9 +/- 5.8 (mean+/- s.d.), UDCA 5.0 +/- 4.7 (95% confidence interval for difference; 3.9, 7.8, P = 0.0006), CDCA (600 mg) 5.0 +/- 3.9 (2.6, 9.2, P = 0.0059)] and AUC (ng ml(-1) h) [(control; 60 +/- 36, UDCA 15 +/- 13 (20, 73, P = 0.0064), CDCA (600 mg) 19 +/- 19 (21, 63, P = 0.0038)] of nitrendipine, while elimination half-life remained unchanged.",Effect of bile acids on absorption of nitrendipine in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736882/),[ng] / [ml],5.0,8926,DB01586,Ursodeoxycholic acid
,11736882,AUC,"Bile acids decreased the Cmax (ng ml(-1)) [control 10.9 +/- 5.8 (mean+/- s.d.), UDCA 5.0 +/- 4.7 (95% confidence interval for difference; 3.9, 7.8, P = 0.0006), CDCA (600 mg) 5.0 +/- 3.9 (2.6, 9.2, P = 0.0059)] and AUC (ng ml(-1) h) [(control; 60 +/- 36, UDCA 15 +/- 13 (20, 73, P = 0.0064), CDCA (600 mg) 19 +/- 19 (21, 63, P = 0.0038)] of nitrendipine, while elimination half-life remained unchanged.",Effect of bile acids on absorption of nitrendipine in healthy subjects. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736882/),[h·ng] / [ml],60,8927,DB01586,Ursodeoxycholic acid
,11736882,AUC,"Bile acids decreased the Cmax (ng ml(-1)) [control 10.9 +/- 5.8 (mean+/- s.d.), UDCA 5.0 +/- 4.7 (95% confidence interval for difference; 3.9, 7.8, P = 0.0006), CDCA (600 mg) 5.0 +/- 3.9 (2.6, 9.2, P = 0.0059)] and AUC (ng ml(-1) h) [(control; 60 +/- 36, UDCA 15 +/- 13 (20, 73, P = 0.0064), CDCA (600 mg) 19 +/- 19 (21, 63, P = 0.0038)] of nitrendipine, while elimination half-life remained unchanged.",Effect of bile acids on absorption of nitrendipine in healthy subjects. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736882/),[h·ng] / [ml],15,8928,DB01586,Ursodeoxycholic acid
,11736882,AUC,"Bile acids decreased the Cmax (ng ml(-1)) [control 10.9 +/- 5.8 (mean+/- s.d.), UDCA 5.0 +/- 4.7 (95% confidence interval for difference; 3.9, 7.8, P = 0.0006), CDCA (600 mg) 5.0 +/- 3.9 (2.6, 9.2, P = 0.0059)] and AUC (ng ml(-1) h) [(control; 60 +/- 36, UDCA 15 +/- 13 (20, 73, P = 0.0064), CDCA (600 mg) 19 +/- 19 (21, 63, P = 0.0038)] of nitrendipine, while elimination half-life remained unchanged.",Effect of bile acids on absorption of nitrendipine in healthy subjects. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/11736882/),[h·ng] / [ml],19,8929,DB01586,Ursodeoxycholic acid
,15689031,flow rate,"The chromatographic separation was achieved within seven minutes by an isocratic mobile phase containing 1.0 mM ammonium acetate and Acetonitrile (65:35, v/v), flowing through XTerra MS C18, 100 x 2.1, 3.5 microm analytical column, at a flow rate of 0.2 ml/min.",Validation of LC/MS electrospray ionisation method for the estimation of ursodiol in human plasma and its application in bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15689031/),[ml] / [min],0.2,9260,DB01586,Ursodeoxycholic acid
,15689031,m/z,"Ion signals were measured in negative mode for Ursodiol and internal standard at m/z 391.3 and 278.1, respectively.",Validation of LC/MS electrospray ionisation method for the estimation of ursodiol in human plasma and its application in bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15689031/),,391.3,9261,DB01586,Ursodeoxycholic acid
,15689031,m/z,"Ion signals were measured in negative mode for Ursodiol and internal standard at m/z 391.3 and 278.1, respectively.",Validation of LC/MS electrospray ionisation method for the estimation of ursodiol in human plasma and its application in bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15689031/),,278.1,9262,DB01586,Ursodeoxycholic acid
more,15689031,absolute recovery,The absolute recovery was more than 54.90% for Ursodiol and 76.51% for internal standard.,Validation of LC/MS electrospray ionisation method for the estimation of ursodiol in human plasma and its application in bioequivalence study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/15689031/),%,54.90,9263,DB01586,Ursodeoxycholic acid
