Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6414752,CL,"The CL and Vd were significantly greater at steady-state (0.42 +/- 0.20 ml/min/kg and 0.231 +/- 0.067 L/kg, respectively) than after a single dose (0.32 +/- 0.13 ml/min/kg and 0.191 +/- 0.055 L/kg, respectively).",First-dose and steady-state pharmacokinetics of valproic acid in children with seizures. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6414752/),[ml] / [kg·min],0.42,600,DB00313,Valproic Acid
,6414752,CL,"The CL and Vd were significantly greater at steady-state (0.42 +/- 0.20 ml/min/kg and 0.231 +/- 0.067 L/kg, respectively) than after a single dose (0.32 +/- 0.13 ml/min/kg and 0.191 +/- 0.055 L/kg, respectively).",First-dose and steady-state pharmacokinetics of valproic acid in children with seizures. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6414752/),[ml] / [kg·min],0.32,601,DB00313,Valproic Acid
,6414752,Vd,"The CL and Vd were significantly greater at steady-state (0.42 +/- 0.20 ml/min/kg and 0.231 +/- 0.067 L/kg, respectively) than after a single dose (0.32 +/- 0.13 ml/min/kg and 0.191 +/- 0.055 L/kg, respectively).",First-dose and steady-state pharmacokinetics of valproic acid in children with seizures. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6414752/),[l] / [kg],0.231,602,DB00313,Valproic Acid
,6414752,Vd,"The CL and Vd were significantly greater at steady-state (0.42 +/- 0.20 ml/min/kg and 0.231 +/- 0.067 L/kg, respectively) than after a single dose (0.32 +/- 0.13 ml/min/kg and 0.191 +/- 0.055 L/kg, respectively).",First-dose and steady-state pharmacokinetics of valproic acid in children with seizures. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6414752/),[l] / [kg],0.191,603,DB00313,Valproic Acid
,10757417,half-life of plasma disappearance,The half-life of plasma disappearance of valproate was 25% reduced by lithium pretreatment (0.428 +/- 0.031 h with repeated lithium pretreatment vs 0.578 +/- 0.062 h for controls).,Effects of lithium on the pharmacokinetics of valproate in rats. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10757417/),h,0.428,1578,DB00313,Valproic Acid
,10757417,half-life of plasma disappearance,The half-life of plasma disappearance of valproate was 25% reduced by lithium pretreatment (0.428 +/- 0.031 h with repeated lithium pretreatment vs 0.578 +/- 0.062 h for controls).,Effects of lithium on the pharmacokinetics of valproate in rats. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/10757417/),h,0.578,1579,DB00313,Valproic Acid
,6810203,area under the serum concentration-time curve (AUC),There was no significant difference (p greater than 0.1) in the area under the serum concentration-time curve (AUC) between the oral (201.1 mg L-1hr) and rectal 219.6mg L-1hr) routes of administration.,Bioavailability of rectally administered valproic acid syrup. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6810203/),[mg] / [l],201.1,2524,DB00313,Valproic Acid
,6810203,area under the serum concentration-time curve (AUC),There was no significant difference (p greater than 0.1) in the area under the serum concentration-time curve (AUC) between the oral (201.1 mg L-1hr) and rectal 219.6mg L-1hr) routes of administration.,Bioavailability of rectally administered valproic acid syrup. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6810203/),[mg] / [l],219.6,2525,DB00313,Valproic Acid
,6777108,free (unbound) fraction,"After valproate, the free (unbound) fraction of phenytoin in serum rose from 9.6 +/- 0.9% (SD) to 15.6 +/- 1.4% on average (p < 0.001).",Interaction between phenytoin and valproic acid: plasma protein binding and metabolic effects. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6777108/),%,9.6,4678,DB00313,Valproic Acid
,6777108,free (unbound) fraction,"After valproate, the free (unbound) fraction of phenytoin in serum rose from 9.6 +/- 0.9% (SD) to 15.6 +/- 1.4% on average (p < 0.001).",Interaction between phenytoin and valproic acid: plasma protein binding and metabolic effects. ,fu-Q46,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6777108/),%,15.6,4679,DB00313,Valproic Acid
