Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,19916991,CL/F,"The final population parameter estimates (95% CI) were: CL/F, 10.4 l h(-1) (10.2, 10.6); V(2)/F, 337 l (309, 364); V(3)/F, 78.1 l (61.9, 98.9); Q/F, 2.08 l h(-1) (1.39, 3.79); K(a), 1.69 h(-1) (1.27, 2.00); and A(lag), 0.43 h (0.37, 0.46).",Population pharmacokinetic analysis of varenicline in adult smokers. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19916991/),[l] / [h],10.4,13255,DB01273,Varenicline
,19916991,V(2)/F,"The final population parameter estimates (95% CI) were: CL/F, 10.4 l h(-1) (10.2, 10.6); V(2)/F, 337 l (309, 364); V(3)/F, 78.1 l (61.9, 98.9); Q/F, 2.08 l h(-1) (1.39, 3.79); K(a), 1.69 h(-1) (1.27, 2.00); and A(lag), 0.43 h (0.37, 0.46).",Population pharmacokinetic analysis of varenicline in adult smokers. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19916991/),l,337,13256,DB01273,Varenicline
,19916991,V(3)/F,"The final population parameter estimates (95% CI) were: CL/F, 10.4 l h(-1) (10.2, 10.6); V(2)/F, 337 l (309, 364); V(3)/F, 78.1 l (61.9, 98.9); Q/F, 2.08 l h(-1) (1.39, 3.79); K(a), 1.69 h(-1) (1.27, 2.00); and A(lag), 0.43 h (0.37, 0.46).",Population pharmacokinetic analysis of varenicline in adult smokers. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19916991/),l,78.1,13257,DB01273,Varenicline
,19916991,Q/F,"The final population parameter estimates (95% CI) were: CL/F, 10.4 l h(-1) (10.2, 10.6); V(2)/F, 337 l (309, 364); V(3)/F, 78.1 l (61.9, 98.9); Q/F, 2.08 l h(-1) (1.39, 3.79); K(a), 1.69 h(-1) (1.27, 2.00); and A(lag), 0.43 h (0.37, 0.46).",Population pharmacokinetic analysis of varenicline in adult smokers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19916991/),[l] / [h],2.08,13258,DB01273,Varenicline
,19916991,K(a),"The final population parameter estimates (95% CI) were: CL/F, 10.4 l h(-1) (10.2, 10.6); V(2)/F, 337 l (309, 364); V(3)/F, 78.1 l (61.9, 98.9); Q/F, 2.08 l h(-1) (1.39, 3.79); K(a), 1.69 h(-1) (1.27, 2.00); and A(lag), 0.43 h (0.37, 0.46).",Population pharmacokinetic analysis of varenicline in adult smokers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19916991/),1/[h],1.69,13259,DB01273,Varenicline
,19916991,A(lag),"The final population parameter estimates (95% CI) were: CL/F, 10.4 l h(-1) (10.2, 10.6); V(2)/F, 337 l (309, 364); V(3)/F, 78.1 l (61.9, 98.9); Q/F, 2.08 l h(-1) (1.39, 3.79); K(a), 1.69 h(-1) (1.27, 2.00); and A(lag), 0.43 h (0.37, 0.46).",Population pharmacokinetic analysis of varenicline in adult smokers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19916991/),h,0.43,13260,DB01273,Varenicline
,19916991,CL/F,"CL/F decreased from 10.4 l h(-1) for a typical subject with normal renal function (CLcr = 100 ml min(-1)) to 4.4 l h(-1) for a typical subject with severe renal impairment (CLcr = 20 ml min(-1)), which corresponds to a 2.4-fold increase in daily steady-state exposure.",Population pharmacokinetic analysis of varenicline in adult smokers. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19916991/),[l] / [h],10.4,13261,DB01273,Varenicline
,19916991,CL/F,"CL/F decreased from 10.4 l h(-1) for a typical subject with normal renal function (CLcr = 100 ml min(-1)) to 4.4 l h(-1) for a typical subject with severe renal impairment (CLcr = 20 ml min(-1)), which corresponds to a 2.4-fold increase in daily steady-state exposure.",Population pharmacokinetic analysis of varenicline in adult smokers. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19916991/),[l] / [h],4.4,13262,DB01273,Varenicline
,20551220,half-life,Mean half-life estimates ranged from approximately 13 to 19 hours after single dosing and 24 to 28 hours after repeat dosing.,"Single- and multiple-dose pharmacokinetics of the selective nicotinic receptor partial agonist, varenicline, in healthy Japanese adult smokers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20551220/),h,13 to 19,24054,DB01273,Varenicline
,20551220,half-life,Mean half-life estimates ranged from approximately 13 to 19 hours after single dosing and 24 to 28 hours after repeat dosing.,"Single- and multiple-dose pharmacokinetics of the selective nicotinic receptor partial agonist, varenicline, in healthy Japanese adult smokers. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20551220/),h,24 to 28,24055,DB01273,Varenicline
,30349192,specific surface area,"VRC-S showed a positively skewed unimodal size distribution with a specific surface area of 2.02 m2/g, single endothermic peak of 225.2°C in differential scanning calorimetry, crystalline internal structure in powder X-ray diffraction, aqueous solubility of 244.7 mg/mL, and hygroscopicity of 0.256 mg/g.",Immediate release tablet formulation of varenicline salicylate and comparative pharmacokinetic study in human volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30349192/),[m2] / [g],2.02,32466,DB01273,Varenicline
,30349192,solubility,"VRC-S showed a positively skewed unimodal size distribution with a specific surface area of 2.02 m2/g, single endothermic peak of 225.2°C in differential scanning calorimetry, crystalline internal structure in powder X-ray diffraction, aqueous solubility of 244.7 mg/mL, and hygroscopicity of 0.256 mg/g.",Immediate release tablet formulation of varenicline salicylate and comparative pharmacokinetic study in human volunteers. ,Papp-Q6,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30349192/),[mg] / [ml],244.7,32467,DB01273,Varenicline
,30349192,f 2,"The dissolution of VRC was pH independent, revealing f 2 values of 76.49 and 68.38 at pH 1.2 and pH 6.8, respectively.",Immediate release tablet formulation of varenicline salicylate and comparative pharmacokinetic study in human volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30349192/),,76.49,32468,DB01273,Varenicline
,30349192,f 2,"The dissolution of VRC was pH independent, revealing f 2 values of 76.49 and 68.38 at pH 1.2 and pH 6.8, respectively.",Immediate release tablet formulation of varenicline salicylate and comparative pharmacokinetic study in human volunteers. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30349192/),,68.38,32469,DB01273,Varenicline
,33704052,maximum plasma varenicline concentration (Cmax),"The maximum plasma varenicline concentration (Cmax) was 5,768.95 ng/L (mean) and 5,780.55 ng/L for the test drug and reference drug, respectively.",Pharmacokinetic comparison between tablet of varenicline tartrate and orally disintegrating film of varenicline salicylate in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33704052/),[ng] / [l],"5,768.95",43310,DB01273,Varenicline
,33704052,maximum plasma varenicline concentration (Cmax),"The maximum plasma varenicline concentration (Cmax) was 5,768.95 ng/L (mean) and 5,780.55 ng/L for the test drug and reference drug, respectively.",Pharmacokinetic comparison between tablet of varenicline tartrate and orally disintegrating film of varenicline salicylate in healthy subjects. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33704052/),[ng] / [l],"5,780.55",43311,DB01273,Varenicline
,33704052,areas under the concentration-time curve from time 0 to the last measurable time point (AUC0-t),"The areas under the concentration-time curve from time 0 to the last measurable time point (AUC0-t) were 94,086.30 h×ng/L and 89,958.55 h×ng/L for the test drug and reference drug, respectively.",Pharmacokinetic comparison between tablet of varenicline tartrate and orally disintegrating film of varenicline salicylate in healthy subjects. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33704052/),[h·ng] / [l],"94,086.30",43312,DB01273,Varenicline
,33704052,areas under the concentration-time curve from time 0 to the last measurable time point (AUC0-t),"The areas under the concentration-time curve from time 0 to the last measurable time point (AUC0-t) were 94,086.30 h×ng/L and 89,958.55 h×ng/L for the test drug and reference drug, respectively.",Pharmacokinetic comparison between tablet of varenicline tartrate and orally disintegrating film of varenicline salicylate in healthy subjects. ,AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/33704052/),[h·ng] / [l],"89,958.55",43313,DB01273,Varenicline
,30868192,CL/F,"CL/F was 8.5 L/h (coefficient of variation, 26%), V/F was 228 L, and the absorption rate (ka) was fixed to 0.98 h-1.",Influence of body weight and UGT2B7 polymorphism on varenicline exposure in a cohort of smokers from the general population. ,CLpo-Q27,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30868192/),[l] / [h],8.5,47039,DB01273,Varenicline
,30868192,V/F,"CL/F was 8.5 L/h (coefficient of variation, 26%), V/F was 228 L, and the absorption rate (ka) was fixed to 0.98 h-1.",Influence of body weight and UGT2B7 polymorphism on varenicline exposure in a cohort of smokers from the general population. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30868192/),l,228,47040,DB01273,Varenicline
,30868192,absorption rate (ka),"CL/F was 8.5 L/h (coefficient of variation, 26%), V/F was 228 L, and the absorption rate (ka) was fixed to 0.98 h-1.",Influence of body weight and UGT2B7 polymorphism on varenicline exposure in a cohort of smokers from the general population. ,ka-Q49,[Article Link](https://pubmed.ncbi.nlm.nih.gov/30868192/),1/[h],0.98,47041,DB01273,Varenicline
,31699211,Cmax,"The observed average values of Cmax, AUClast, and AUCinf were 4.46 ng/mL, 97.68 ng×h/mL, and 101.60 ng×h/mL for reference and 4.54 ng/mL, 97.10 ng×h/mL, and 100.97 ng×h/mL for test, respectively.",Pharmacokinetic comparisons of two different varenicline formulations in humans: Varenicline tartrate versus varenicline oxalate . ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/31699211/),[ng] / [ml],4.46,76833,DB01273,Varenicline
