Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,23274625,recovery,The mean recovery ranged from 99.2 to 104.6% and the matrix effect from 89.3 to 99.5%.,Development and validation of an LC-MS/MS method for the determination of tolvaptan in human plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23274625/),%,99.2 to 104.6,0,DB00067,Vasopressin
,23274625,matrix effect,The mean recovery ranged from 99.2 to 104.6% and the matrix effect from 89.3 to 99.5%.,Development and validation of an LC-MS/MS method for the determination of tolvaptan in human plasma and its application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23274625/),%,89.3 to 99.5,1,DB00067,Vasopressin
,2597363,Concentration,Concentration of plasma AVP increased slightly from 3.8 +/- 1.5 pg/ml after induction and increased 3-fold after sternotomy.,Responses of vasopressin release in patients with cardiopulmonary bypass anesthetized with enflurane and morphine. ,Css-Q34,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2597363/),[pg] / [ml],3.8,344,DB00067,Vasopressin
,3117068,duration of action,The duration of action of orally administered GTN in the dog depended on the concentration used and was between 15 and 360 min.,[The pharmacology and pharmacokinetics of glycerol-2-nitrate]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/3117068/),min,15 and 360,1924,DB00067,Vasopressin
,3117068,half-life of elimination,"The half-life of elimination of G-2-N in the rat came to 2 h, and the substance was 100% bioavailable.",[The pharmacology and pharmacokinetics of glycerol-2-nitrate]. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/3117068/),h,2,1925,DB00067,Vasopressin
,17258819,fast phase,"There was no change in the fast phase of the curves of total radioactivity disappearance from the plasma after the administration of [(3)H]arginine vasopressin (control: 1.51+/-0.17 min, OPC-31260-treated: 1.42+/-0.12 min, n=10).",Biological half-life and organ distribution of [3H]8-arginine vasopressin following administration of vasopressin receptor antagonist OPC-31260. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17258819/),min,1.51,2867,DB00067,Vasopressin
,17258819,fast phase,"There was no change in the fast phase of the curves of total radioactivity disappearance from the plasma after the administration of [(3)H]arginine vasopressin (control: 1.51+/-0.17 min, OPC-31260-treated: 1.42+/-0.12 min, n=10).",Biological half-life and organ distribution of [3H]8-arginine vasopressin following administration of vasopressin receptor antagonist OPC-31260. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17258819/),min,1.42,2868,DB00067,Vasopressin
,17258819,fast phase of the disappearance curves,"The fast phase of the disappearance curves of intact [(3)H]arginine vasopressin did not change either following the administration of OPC-31260 in a dose of 30 mg/kg p.o. (control: 1.06+/-0.19 min, OPC-31260-treated: 1.00+/-0.15 min, n=6).",Biological half-life and organ distribution of [3H]8-arginine vasopressin following administration of vasopressin receptor antagonist OPC-31260. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17258819/),min,1.06,2869,DB00067,Vasopressin
,17258819,fast phase of the disappearance curves,"The fast phase of the disappearance curves of intact [(3)H]arginine vasopressin did not change either following the administration of OPC-31260 in a dose of 30 mg/kg p.o. (control: 1.06+/-0.19 min, OPC-31260-treated: 1.00+/-0.15 min, n=6).",Biological half-life and organ distribution of [3H]8-arginine vasopressin following administration of vasopressin receptor antagonist OPC-31260. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17258819/),min,1.00,2870,DB00067,Vasopressin
,17258819,radioactivity,"The slow phase of the biological half-life, which is characteristic for the examined compound, proved to be significantly longer (total radioactivity control: 9.29+/-0.61 min, OPC-31260-treated: 12.33+/-0.42 min, P<0.05, n=10; [(3)H]arginine vasopressin radioactivity: control: 5.96+/-0.58 min, OPC-31260-treated: 8.90+/-0.37 min, P<0.05, n=6).",Biological half-life and organ distribution of [3H]8-arginine vasopressin following administration of vasopressin receptor antagonist OPC-31260. ,Radioactivity-Q8,[Article Link](https://pubmed.ncbi.nlm.nih.gov/17258819/),min,5.96,2871,DB00067,Vasopressin
