Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26446141,exposure,Endoxifen exposure was ~3-fold higher during escitalopram co-administration than during paroxetine or fluoxetine co-administration (median 387 nM·h [range 159-637 nM·h] versus 99.2 nM·h [range 70.0-210 nM·h]; P = 0.012; Wilcoxon signed-rank test).,Augmentation of Endoxifen Exposure in Tamoxifen-Treated Women Following SSRI Switch. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26446141/),h·nM,387,7523,DB00285,Venlafaxine
,26446141,exposure,Endoxifen exposure was ~3-fold higher during escitalopram co-administration than during paroxetine or fluoxetine co-administration (median 387 nM·h [range 159-637 nM·h] versus 99.2 nM·h [range 70.0-210 nM·h]; P = 0.012; Wilcoxon signed-rank test).,Augmentation of Endoxifen Exposure in Tamoxifen-Treated Women Following SSRI Switch. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26446141/),h·nM,99.2,7524,DB00285,Venlafaxine
higher,26460073,recoveries,Calibration curves in spiked plasma (recoveries higher than 80%) were linear over the concentration range 150-5000 ng/mL for both VX and O-DVX.,Development of an enantioselective assay for simultaneous separation of venlafaxine and O-desmethylvenlafaxine by micellar electrokinetic chromatography-tandem mass spectrometry: Application to the analysis of drug-drug interaction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26460073/),%,80,11133,DB00285,Venlafaxine
,26460073,limit of detection (LOD),"The limit of detection (LOD) was found to be as low as 30 ng/mL and 21 ng/mL for O-DVX and VX, respectively.",Development of an enantioselective assay for simultaneous separation of venlafaxine and O-desmethylvenlafaxine by micellar electrokinetic chromatography-tandem mass spectrometry: Application to the analysis of drug-drug interaction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26460073/),[ng] / [ml],30,11134,DB00285,Venlafaxine
,26460073,limit of detection (LOD),"The limit of detection (LOD) was found to be as low as 30 ng/mL and 21 ng/mL for O-DVX and VX, respectively.",Development of an enantioselective assay for simultaneous separation of venlafaxine and O-desmethylvenlafaxine by micellar electrokinetic chromatography-tandem mass spectrometry: Application to the analysis of drug-drug interaction. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26460073/),[ng] / [ml],21,11135,DB00285,Venlafaxine
,18840027,half-life of development,The half-life of development and regression of tolerance was estimated to be 30 minutes for the amplitude and 40 minutes for the recovery time.,Pharmacokinetic/pharmacodynamic modelling of venlafaxine: pupillary light reflex as a test system for noradrenergic effects. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18840027/),min,30,21502,DB00285,Venlafaxine
,22615601,flow rate,"Chromatographic separation was achieved with a ChromolithTM Performance RP-18e 100 mm×4.6 mm column equipped with a Fluorescence detectore (λ(ex) 200 nm/λ(em) 300 nm) The mobile phase of methanol:water (35:65, v/v) adjusted to pH 2.5 by phosphoric acid was passed through the column in an isocratic mode at flow rate of 2 ml/min.",Development and validation of a rapid HPLC- fluorescence method for simultaneous determination of venlafaxine and its major metabolites in human plasma. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22615601/),[ml] / [min],2,25655,DB00285,Venlafaxine
,14709940,elimination half-life,"Nefazodone was also the only antidepressant that caused a significant change in ALPZ disposition, decreasing its area under the concentration-versus-time curve (AUC; P < 0.01), and increasing its elimination half-life (16.4 vs. 12.3 hours; P < 0.05) compared with values at baseline.","Comparative CYP3A4 inhibitory effects of venlafaxine, fluoxetine, sertraline, and nefazodone in healthy volunteers. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/14709940/),h,16.4,26950,DB00285,Venlafaxine
,14709940,elimination half-life,"Nefazodone was also the only antidepressant that caused a significant change in ALPZ disposition, decreasing its area under the concentration-versus-time curve (AUC; P < 0.01), and increasing its elimination half-life (16.4 vs. 12.3 hours; P < 0.05) compared with values at baseline.","Comparative CYP3A4 inhibitory effects of venlafaxine, fluoxetine, sertraline, and nefazodone in healthy volunteers. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/14709940/),h,12.3,26951,DB00285,Venlafaxine
,25069798,Cmax,"Venlafaxine Cmax was increased by 22% in the presence of ticagrelor (121.83 ng/mL [90% CI, 111.80-132.75]).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[ng] / [ml],121.83,30557,DB00285,Venlafaxine
,25069798,AUC0-τ,"ODV AUC0-τ and Cmax were unaffected by coadministration with ticagrelor (98.71 ng · h/mL [90% CI, 96.61-100.85] and 101.44 ng/mL [90% CI, 98.34-104.65], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[h·ng] / [ml],98.71,30558,DB00285,Venlafaxine
,25069798,Cmax,"ODV AUC0-τ and Cmax were unaffected by coadministration with ticagrelor (98.71 ng · h/mL [90% CI, 96.61-100.85] and 101.44 ng/mL [90% CI, 98.34-104.65], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[ng] / [ml],101.44,30559,DB00285,Venlafaxine
,25069798,Cmax,"Venlafaxine had no effect on the Cmax or AUC0-∞ of ticagrelor (96.54 ng/mL [90% CI, 85.03-109.61] and 89.67 ng · h/mL [90% CI, 82.78-97.14]) or AR-C124910XX (106.39 ng/mL [90% CI, 96.10-117.78] and 106.32 ng · h/mL [90% CI, 97.28-116.21], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[ng] / [ml],96.54,30560,DB00285,Venlafaxine
,25069798,Cmax,"Venlafaxine had no effect on the Cmax or AUC0-∞ of ticagrelor (96.54 ng/mL [90% CI, 85.03-109.61] and 89.67 ng · h/mL [90% CI, 82.78-97.14]) or AR-C124910XX (106.39 ng/mL [90% CI, 96.10-117.78] and 106.32 ng · h/mL [90% CI, 97.28-116.21], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[ng] / [ml],106.39,30561,DB00285,Venlafaxine
,25069798,AUC0-∞,"Venlafaxine had no effect on the Cmax or AUC0-∞ of ticagrelor (96.54 ng/mL [90% CI, 85.03-109.61] and 89.67 ng · h/mL [90% CI, 82.78-97.14]) or AR-C124910XX (106.39 ng/mL [90% CI, 96.10-117.78] and 106.32 ng · h/mL [90% CI, 97.28-116.21], respectively).","Evaluation of the pharmacokinetic interaction between ticagrelor and venlafaxine, a cytochrome P-450 2D6 substrate, in healthy subjects. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/25069798/),[h·ng] / [ml],89.67,30562,DB00285,Venlafaxine
