Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,24937809,flow rate,"An isocratic mobile phase of acetonitrile: 5mM ammonium acetate: formic acid (35:65:0.1, v/v/v) was applied at a flow rate of 0.25mL/min.",A validated LC-MS/MS method for the rapid quantification of vilazodone in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24937809/),[ml] / [min],0.25,80785,DB06684,Vilazodone
,24937809,m,Detection was performed using multiple reaction-monitoring (MRM) modes at m/z 442.4→155.3 for vilazodone and m/z 325.1→109.0 for escitalopram.,A validated LC-MS/MS method for the rapid quantification of vilazodone in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24937809/),,442.4,80786,DB06684,Vilazodone
,24937809,total analysis time,The total analysis time was 2.2min.,A validated LC-MS/MS method for the rapid quantification of vilazodone in rat plasma: application to a pharmacokinetic study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24937809/),min,2.2,80787,DB06684,Vilazodone
,23417352,t½,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),h,35.7,161029,DB06684,Vilazodone
,23417352,t½,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),h,34.8,161030,DB06684,Vilazodone
,23417352,t½,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),h,37.0,161031,DB06684,Vilazodone
,23417352,total drug clearance,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),[l] / [h],19.9,161032,DB06684,Vilazodone
,23417352,total drug clearance,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),[l] / [h],25.1,161033,DB06684,Vilazodone
,23417352,total drug clearance,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),[l] / [h],26.4,161034,DB06684,Vilazodone
,23417352,total drug clearance,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),[l] / [h],26.9,161035,DB06684,Vilazodone
,23417352,recovery in urine,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),%,1.21,161036,DB06684,Vilazodone
,23417352,recovery in urine,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),%,0.58,161037,DB06684,Vilazodone
,23417352,recovery in urine,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),%,0.95,161038,DB06684,Vilazodone
,23417352,recovery in urine,"Mean t½ (35.7 and 34.8 h mild and moderate vs. 37.0 and 34.8 h matched controls), total drug clearance (19.9 and 25.1 L/h vs. 26.4 and 26.9 L/h), and mean vilazodone recovery in urine (1.21 % and 0.58 % vs. 0.95 % and 0.81 %) were similar for mild and moderate renally impaired subjects and matched controls with normal renal function.",Pharmacokinetics of vilazodone in patients with mild or moderate renal impairment. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23417352/),%,0.81,161039,DB06684,Vilazodone
,27209054,total run time,The total run time was 1.5 min.,UPLC-MS-MS Method for the Determination of Vilazodone in Human Plasma: Application to a Pharmacokinetic Study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27209054/),min,1.5,181804,DB06684,Vilazodone
