Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,28302582,circulation time,"CPD100 elimination from the circulation after injection in mouse was characterized by a very short circulation time (~0.44h), lower area under the curve (AUC) (33μgh/mL) and high clearance (916mL/h/kg) and lower volume of distribution (17.4mL/kg).",Characterization of pegylated and non-pegylated liposomal formulation for the delivery of hypoxia activated vinblastine-N-oxide for the treatment of solid tumors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28302582/),h,0.44,3814,DB00570,Vinblastine
,28302582,area under the curve (AUC),"CPD100 elimination from the circulation after injection in mouse was characterized by a very short circulation time (~0.44h), lower area under the curve (AUC) (33μgh/mL) and high clearance (916mL/h/kg) and lower volume of distribution (17.4mL/kg).",Characterization of pegylated and non-pegylated liposomal formulation for the delivery of hypoxia activated vinblastine-N-oxide for the treatment of solid tumors. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28302582/),[μgh] / [ml],33,3815,DB00570,Vinblastine
,28302582,clearance,"CPD100 elimination from the circulation after injection in mouse was characterized by a very short circulation time (~0.44h), lower area under the curve (AUC) (33μgh/mL) and high clearance (916mL/h/kg) and lower volume of distribution (17.4mL/kg).",Characterization of pegylated and non-pegylated liposomal formulation for the delivery of hypoxia activated vinblastine-N-oxide for the treatment of solid tumors. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28302582/),[ml] / [h·kg],916,3816,DB00570,Vinblastine
,28302582,volume of distribution,"CPD100 elimination from the circulation after injection in mouse was characterized by a very short circulation time (~0.44h), lower area under the curve (AUC) (33μgh/mL) and high clearance (916mL/h/kg) and lower volume of distribution (17.4mL/kg).",Characterization of pegylated and non-pegylated liposomal formulation for the delivery of hypoxia activated vinblastine-N-oxide for the treatment of solid tumors. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28302582/),[ml] / [kg],17.4,3817,DB00570,Vinblastine
,28302582,circulation time,Total drug elimination from the circulation after the administration of liposomal formulation was characterized by prolonged circulation time (5.5h) along with increase in the AUC (56μgh/mL) for CPD100 Li and (9.5h) with AUC (170μgh/mL) for CPD100PEGLi.,Characterization of pegylated and non-pegylated liposomal formulation for the delivery of hypoxia activated vinblastine-N-oxide for the treatment of solid tumors. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28302582/),h,5.5,3818,DB00570,Vinblastine
,28302582,AUC,Total drug elimination from the circulation after the administration of liposomal formulation was characterized by prolonged circulation time (5.5h) along with increase in the AUC (56μgh/mL) for CPD100 Li and (9.5h) with AUC (170μgh/mL) for CPD100PEGLi.,Characterization of pegylated and non-pegylated liposomal formulation for the delivery of hypoxia activated vinblastine-N-oxide for the treatment of solid tumors. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28302582/),[μgh] / [ml],56,3819,DB00570,Vinblastine
,28302582,AUC,Total drug elimination from the circulation after the administration of liposomal formulation was characterized by prolonged circulation time (5.5h) along with increase in the AUC (56μgh/mL) for CPD100 Li and (9.5h) with AUC (170μgh/mL) for CPD100PEGLi.,Characterization of pegylated and non-pegylated liposomal formulation for the delivery of hypoxia activated vinblastine-N-oxide for the treatment of solid tumors. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28302582/),h,9.5,3820,DB00570,Vinblastine
,28302582,AUC,Total drug elimination from the circulation after the administration of liposomal formulation was characterized by prolonged circulation time (5.5h) along with increase in the AUC (56μgh/mL) for CPD100 Li and (9.5h) with AUC (170μgh/mL) for CPD100PEGLi.,Characterization of pegylated and non-pegylated liposomal formulation for the delivery of hypoxia activated vinblastine-N-oxide for the treatment of solid tumors. ,AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28302582/),[μgh] / [ml],170,3821,DB00570,Vinblastine
,27557783,PFS,"Median PFS and OS were 4 months (95 % CI, 2.8-6.9) and 17.5 months (95 % CI, 10.8-24.5), respectively.","Clinical, pharmacodynamic and pharmacokinetic results of a prospective phase II study on oral metronomic vinorelbine and dexamethasone in castration-resistant prostate cancer patients. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27557783/),month,4,6132,DB00570,Vinblastine
,27557783,PFS,"Median PFS and OS were 4 months (95 % CI, 2.8-6.9) and 17.5 months (95 % CI, 10.8-24.5), respectively.","Clinical, pharmacodynamic and pharmacokinetic results of a prospective phase II study on oral metronomic vinorelbine and dexamethasone in castration-resistant prostate cancer patients. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27557783/),month,17,6133,DB00570,Vinblastine
