Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,8892677,trough,"The median trough and peak blood levels of SDZ PSC 833 ranged from 461/1134 ng/ml at 5 mg/kg/day to 821/2663 ng/ml at 15 mg/kg, respectively.","Reversal of multidrug resistance by SDZ PSC 833, combined with VAD (vincristine, doxorubicin, dexamethasone) in refractory multiple myeloma. A phase I study. ",Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8892677/),[ng] / [ml],461,275,DB00541,Vincristine
,8892677,peak blood levels,"The median trough and peak blood levels of SDZ PSC 833 ranged from 461/1134 ng/ml at 5 mg/kg/day to 821/2663 ng/ml at 15 mg/kg, respectively.","Reversal of multidrug resistance by SDZ PSC 833, combined with VAD (vincristine, doxorubicin, dexamethasone) in refractory multiple myeloma. A phase I study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8892677/),[ng] / [ml],1134,276,DB00541,Vincristine
,8892677,peak blood levels,"The median trough and peak blood levels of SDZ PSC 833 ranged from 461/1134 ng/ml at 5 mg/kg/day to 821/2663 ng/ml at 15 mg/kg, respectively.","Reversal of multidrug resistance by SDZ PSC 833, combined with VAD (vincristine, doxorubicin, dexamethasone) in refractory multiple myeloma. A phase I study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8892677/),[ng] / [ml],821,277,DB00541,Vincristine
,8892677,peak blood levels,"The median trough and peak blood levels of SDZ PSC 833 ranged from 461/1134 ng/ml at 5 mg/kg/day to 821/2663 ng/ml at 15 mg/kg, respectively.","Reversal of multidrug resistance by SDZ PSC 833, combined with VAD (vincristine, doxorubicin, dexamethasone) in refractory multiple myeloma. A phase I study. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8892677/),[ng] / [ml],2663,278,DB00541,Vincristine
,8892677,plasma AUC 0-->96 h,"With addition of SDZ PSC 833 (5 mg/kg) the mean plasma AUC 0-->96 h of doxorubicin as compared with control patients treated with VAD increased from 779 to 1510 ng/ml/h (P=0.0071), while the doxorubicin clearance was reduced from 47.6 to 27.8 l/h/m2 (P=0.0002).","Reversal of multidrug resistance by SDZ PSC 833, combined with VAD (vincristine, doxorubicin, dexamethasone) in refractory multiple myeloma. A phase I study. ",AUCt-Q19,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8892677/),[ng] / [h·ml],77,279,DB00541,Vincristine
,8892677,clearance,"With addition of SDZ PSC 833 (5 mg/kg) the mean plasma AUC 0-->96 h of doxorubicin as compared with control patients treated with VAD increased from 779 to 1510 ng/ml/h (P=0.0071), while the doxorubicin clearance was reduced from 47.6 to 27.8 l/h/m2 (P=0.0002).","Reversal of multidrug resistance by SDZ PSC 833, combined with VAD (vincristine, doxorubicin, dexamethasone) in refractory multiple myeloma. A phase I study. ",CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8892677/),[l] / [h·m2],47.6,280,DB00541,Vincristine
,16840188,overall response rate,"Best response included five CR, six PR, one SD and one PD with an overall response rate of 85% and complete response rate of 38%.","Rituximab, bevacizumab and CHOP (RA-CHOP) in untreated diffuse large B-cell lymphoma: safety, biomarker and pharmacokinetic analysis. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16840188/),%,85,284,DB00541,Vincristine
,16840188,complete response rate,"Best response included five CR, six PR, one SD and one PD with an overall response rate of 85% and complete response rate of 38%.","Rituximab, bevacizumab and CHOP (RA-CHOP) in untreated diffuse large B-cell lymphoma: safety, biomarker and pharmacokinetic analysis. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/16840188/),%,38,285,DB00541,Vincristine
,19708032,MTD,"The MTD of VSLI was 2.25 mg/m(2) based on dose-limiting toxicities of grade 3 motor neuropathy, grade 4 seizure, and grade 4 hepatotoxicity in 1 patient each at the 2.4 mg/m(2) dose level.",Phase 1 multicenter study of vincristine sulfate liposomes injection and dexamethasone in adults with relapsed or refractory acute lymphoblastic leukemia. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19708032/),[mg] / [m(2],2.25,6901,DB00541,Vincristine
,19708032,CR rate,A complete response (CR) was achieved in 7 of 36 patients (19%) based on an intent-to-treat analysis; the CR rate was 29% for the 14 patients who underwent therapy as their first salvage attempt.,Phase 1 multicenter study of vincristine sulfate liposomes injection and dexamethasone in adults with relapsed or refractory acute lymphoblastic leukemia. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/19708032/),,29,6902,DB00541,Vincristine
,20920295,AUC₀₋₇,"Mean AUC₀₋₇ (days) was 155.9 versus 152.4 mg*h/mL for Prolastin-C and Prolastin, respectively.",Pharmacokinetic comparability of Prolastin®-C to Prolastin® in alpha₁-antitrypsin deficiency: a randomized study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20920295/),[h·mg] / [ml],155.9,10708,DB00541,Vincristine
,20920295,AUC₀₋₇,"Mean AUC₀₋₇ (days) was 155.9 versus 152.4 mg*h/mL for Prolastin-C and Prolastin, respectively.",Pharmacokinetic comparability of Prolastin®-C to Prolastin® in alpha₁-antitrypsin deficiency: a randomized study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20920295/),[h·mg] / [ml],152.4,10709,DB00541,Vincristine
