Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,20406853,biliary clearance,The biliary clearance of GDC-0449 in dogs was low (0.04 ml/min/kg) and did not account for the majority of the estimated systemic clearance (approximately 19% of systemic clearance).,"Interplay of dissolution, solubility, and nonsink permeation determines the oral absorption of the Hedgehog pathway inhibitor GDC-0449 in dogs: an investigation using preclinical studies and physiologically based pharmacokinetic modeling. ",CLH-Q25,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20406853/),[ml] / [kg·min],0.04,7093,DB08828,Vismodegib
,23064958,steady-state plasma concentration,"The mean ± SD vismodegib steady-state plasma concentration (Day 8, N = 51) was 20.6 ± 9.72 μM (range 7.93-62.4 μM).",Co-administration of vismodegib with rosiglitazone or combined oral contraceptive in patients with locally advanced or metastatic solid tumors: a pharmacokinetic assessment of drug-drug interaction potential. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23064958/),μM,20.6,30393,DB08828,Vismodegib
,32135181,steady-state plasma concentrations,"The highest vismodegib concentrations reached 1,409.7 μmol/liter in superficial dermis and 62.3 μmol/liter in deep dermis, exceeding steady-state plasma concentrations previously reported for oral administration of vismodegib (5.5-56.0 μmol/liter).",Enhanced and Sustained Cutaneous Delivery of Vismodegib by Ablative Fractional Laser and Microemulsion Formulation. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32135181/),[μM] / [l],5.5-56.0,35095,DB08828,Vismodegib
,22458643,clearance,"Following a single i.v. dose, mean clearance, volume of distribution and absolute bioavailability were 43.4 ml h(-1) , 16.4 l and 31.8%, respectively.",Single and multiple dose intravenous and oral pharmacokinetics of the hedgehog pathway inhibitor vismodegib in healthy female subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22458643/),[ml] / [h],43.4,40466,DB08828,Vismodegib
,22458643,volume of distribution,"Following a single i.v. dose, mean clearance, volume of distribution and absolute bioavailability were 43.4 ml h(-1) , 16.4 l and 31.8%, respectively.",Single and multiple dose intravenous and oral pharmacokinetics of the hedgehog pathway inhibitor vismodegib in healthy female subjects. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22458643/),l,16.4,40467,DB08828,Vismodegib
,22458643,absolute bioavailability,"Following a single i.v. dose, mean clearance, volume of distribution and absolute bioavailability were 43.4 ml h(-1) , 16.4 l and 31.8%, respectively.",Single and multiple dose intravenous and oral pharmacokinetics of the hedgehog pathway inhibitor vismodegib in healthy female subjects. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22458643/),%,31.8,40468,DB08828,Vismodegib
,22458643,clearance,"Following i.v. administration at steady-state, mean clearance and volume of distribution were 78.5 ml h(-1) and 26.8 l, respectively.",Single and multiple dose intravenous and oral pharmacokinetics of the hedgehog pathway inhibitor vismodegib in healthy female subjects. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22458643/),[ml] / [h],78.5,40469,DB08828,Vismodegib
,22458643,volume of distribution,"Following i.v. administration at steady-state, mean clearance and volume of distribution were 78.5 ml h(-1) and 26.8 l, respectively.",Single and multiple dose intravenous and oral pharmacokinetics of the hedgehog pathway inhibitor vismodegib in healthy female subjects. ,V-Q61,[Article Link](https://pubmed.ncbi.nlm.nih.gov/22458643/),l,26.8,40470,DB08828,Vismodegib
,20172765,Extraction recovery,Extraction recovery of GDC-0449 was between 88.3% and 91.2% as assessed using quality control sample concentrations.,"Determination of GDC-0449, a small-molecule inhibitor of the Hedgehog signaling pathway, in human plasma by solid phase extraction-liquid chromatographic-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20172765/),%,88.3,49645,DB08828,Vismodegib
,20172765,Extraction recovery,Extraction recovery of GDC-0449 was between 88.3% and 91.2% as assessed using quality control sample concentrations.,"Determination of GDC-0449, a small-molecule inhibitor of the Hedgehog signaling pathway, in human plasma by solid phase extraction-liquid chromatographic-tandem mass spectrometry. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/20172765/),%,91.2,49646,DB08828,Vismodegib
