Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26066037,bioavailability,The bioavailability was 116% relative to Relenza®.,"Preparation, characterization and pulmonary pharmacokinetics of a new inhalable zanamivir dry powder. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26066037/),%,116,2268,DB00558,Zanamivir
,10429837,maximum serum concentrations,Inhalation of zanamivir gave a broad peak of systemic absorption with mean maximum serum concentrations of approximately 30 to 40 micrograms/L after 1.5 hours.,Pharmacoscintigraphic evaluation of lung deposition of inhaled zanamivir in healthy volunteers. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10429837/),[μg] / [l],30 to 40,3595,DB00558,Zanamivir
,26037932,IC50,The bioisosteric amidine 5 turned out to be potently active against a panel of H1N1 (IC50 = 2-10 nM) and H3N2 (IC50 = 5-10 nM) influenza A viruses (NA inhibition assay).,Zanamivir Amidoxime- and N-Hydroxyguanidine-Based Prodrug Approaches to Tackle Poor Oral Bioavailability. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26037932/),nM,2-10,5214,DB00558,Zanamivir
,26037932,IC50,The bioisosteric amidine 5 turned out to be potently active against a panel of H1N1 (IC50 = 2-10 nM) and H3N2 (IC50 = 5-10 nM) influenza A viruses (NA inhibition assay).,Zanamivir Amidoxime- and N-Hydroxyguanidine-Based Prodrug Approaches to Tackle Poor Oral Bioavailability. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26037932/),nM,5-10,5215,DB00558,Zanamivir
≤,26037932,F,"Unfortunately, both prodrugs were not orally bioavailable to a convincing degree (F ≤ 3.7%, rats).",Zanamivir Amidoxime- and N-Hydroxyguanidine-Based Prodrug Approaches to Tackle Poor Oral Bioavailability. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26037932/),%,3.7,5216,DB00558,Zanamivir
,7840556,elimination half-life,"GG167 was metabolically stable, with an elimination half-life of 10 min following intravenous administration.","Inhibition of influenza virus replication in mice by GG167 (4-guanidino-2,4-dideoxy-2,3-dehydro-N-acetylneuraminic acid) is consistent with extracellular activity of viral neuraminidase (sialidase). ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/7840556/),min,10,25260,DB00558,Zanamivir
,10709152,Relative bioavailability,"Relative bioavailability of the inhaled powder to the intranasal drops and spray was 2.3 and 1.6, respectively.",A population pharmacokinetic analysis of zanamivir in subjects with experimental and naturally occurring influenza: effects of formulation and route of administration. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10709152/),,2.3,34283,DB00558,Zanamivir
,10709152,Relative bioavailability,"Relative bioavailability of the inhaled powder to the intranasal drops and spray was 2.3 and 1.6, respectively.",A population pharmacokinetic analysis of zanamivir in subjects with experimental and naturally occurring influenza: effects of formulation and route of administration. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/10709152/),,1.6,34284,DB00558,Zanamivir
,21896909,concentration ratios,Median ELF/serum zanamivir concentration ratios ranged from 55 to 79% for intermittent i.v. administration (when sampled 12 h after the last dose) and 43 to 45% for continuous infusion (when sampled 6 to 12 h after the start of the infusion).,Zanamivir pharmacokinetics and pulmonary penetration into epithelial lining fluid following intravenous or oral inhaled administration to healthy adult subjects. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21896909/),%,55 to 79,37345,DB00558,Zanamivir
,21896909,concentration ratios,Median ELF/serum zanamivir concentration ratios ranged from 55 to 79% for intermittent i.v. administration (when sampled 12 h after the last dose) and 43 to 45% for continuous infusion (when sampled 6 to 12 h after the start of the infusion).,Zanamivir pharmacokinetics and pulmonary penetration into epithelial lining fluid following intravenous or oral inhaled administration to healthy adult subjects. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/21896909/),%,43 to 45,37346,DB00558,Zanamivir
