Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,2623654,T4/T8 ratio,The T4/T8 ratio was 0.49.,[Pharmacokinetics of 3'-azido-3 deoxy-thymidine (AZT) in a patient undergoing hemodialysis]. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2623654/),,0.49,156,DB00495,Zidovudine
,2623654,peak,"The peak and the trough concentrations of zidovudine were 0.61 and 0.15 microgram per milliliter, respectively.",[Pharmacokinetics of 3'-azido-3 deoxy-thymidine (AZT) in a patient undergoing hemodialysis]. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2623654/),[μg] / [milliliter],0.61,157,DB00495,Zidovudine
,2623654,trough concentrations,"The peak and the trough concentrations of zidovudine were 0.61 and 0.15 microgram per milliliter, respectively.",[Pharmacokinetics of 3'-azido-3 deoxy-thymidine (AZT) in a patient undergoing hemodialysis]. ,Ctrough-Q37,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2623654/),[μg] / [milliliter],0.15,158,DB00495,Zidovudine
,2623654,half-life,The half-life was 2.9 hours.,[Pharmacokinetics of 3'-azido-3 deoxy-thymidine (AZT) in a patient undergoing hemodialysis]. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2623654/),h,2.9,159,DB00495,Zidovudine
,2623654,clearance,"The hemodialysis clearance of zidovudine and its metabolite were 102 and 71 ml per minute, respectively.",[Pharmacokinetics of 3'-azido-3 deoxy-thymidine (AZT) in a patient undergoing hemodialysis]. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2623654/),[ml] / [min],102,160,DB00495,Zidovudine
,2623654,clearance,"The hemodialysis clearance of zidovudine and its metabolite were 102 and 71 ml per minute, respectively.",[Pharmacokinetics of 3'-azido-3 deoxy-thymidine (AZT) in a patient undergoing hemodialysis]. ,CL-Q22,[Article Link](https://pubmed.ncbi.nlm.nih.gov/2623654/),[ml] / [min],71,161,DB00495,Zidovudine
,1553347,concentrations,Plasma probenecid concentrations during low-dose and high-dose infusion were 56.9 +/- 12 and 248 +/- 42 micrograms/ml.,Competitive inhibition of zidovudine clearance by probenecid during continuous coadministration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553347/),[μg] / [ml],56.9,427,DB00495,Zidovudine
,1553347,concentrations,Plasma probenecid concentrations during low-dose and high-dose infusion were 56.9 +/- 12 and 248 +/- 42 micrograms/ml.,Competitive inhibition of zidovudine clearance by probenecid during continuous coadministration. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553347/),[μg] / [ml],248,428,DB00495,Zidovudine
,1553347,terminal half-life,Postinfusion data showed that the zidovudine terminal half-life during high-dose probenecid treatment was longer than that with low-dose probenecid treatment (58.2 +/- 4.6 vs 39.0 +/- 9.1 min).,Competitive inhibition of zidovudine clearance by probenecid during continuous coadministration. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553347/),min,58.2,429,DB00495,Zidovudine
,1553347,terminal half-life,Postinfusion data showed that the zidovudine terminal half-life during high-dose probenecid treatment was longer than that with low-dose probenecid treatment (58.2 +/- 4.6 vs 39.0 +/- 9.1 min).,Competitive inhibition of zidovudine clearance by probenecid during continuous coadministration. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1553347/),min,39.0,430,DB00495,Zidovudine
