Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,1781415,elimination half-life,Results of these studies indicated that zileuton was well absorbed orally with an elimination half-life of approximately 2.5 hours.,"Pharmacokinetics, safety, and ability to diminish leukotriene synthesis by zileuton, an inhibitor of 5-lipoxygenase. ","t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/1781415/),h,2.5,16608,DB00744,Zileuton
,1848634,IC50,"Zileuton [N-(1-benzo[b]thien-2-ylethyl)-N-hydroxyure] inhibited 5-hydroxyeicosatetraenoic acid synthesis by rat basophilic leukemia cell 20,000 x g supernatant and rat polymorphonuclear leukocytes (PMNL) (IC50 = 0.5 and 0.3 microM) respectively.",5-lipoxygenase inhibitory activity of zileuton. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1848634/),μM,0.5,38805,DB00744,Zileuton
,1848634,IC50,"Zileuton [N-(1-benzo[b]thien-2-ylethyl)-N-hydroxyure] inhibited 5-hydroxyeicosatetraenoic acid synthesis by rat basophilic leukemia cell 20,000 x g supernatant and rat polymorphonuclear leukocytes (PMNL) (IC50 = 0.5 and 0.3 microM) respectively.",5-lipoxygenase inhibitory activity of zileuton. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1848634/),μM,0.3,38806,DB00744,Zileuton
,1848634,IC50,"It also inhibited leukotriene (LT)B4 biosynthesis by rat PMNL (IC50 = 0.4 microM), human PMNL (IC50 = 0.4 microM) and human whole blood (IC50 = 0.9 microM).",5-lipoxygenase inhibitory activity of zileuton. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1848634/),μM,0.4,38807,DB00744,Zileuton
,1848634,IC50,"It also inhibited leukotriene (LT)B4 biosynthesis by rat PMNL (IC50 = 0.4 microM), human PMNL (IC50 = 0.4 microM) and human whole blood (IC50 = 0.9 microM).",5-lipoxygenase inhibitory activity of zileuton. ,IC50-Q10,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1848634/),μM,0.9,38808,DB00744,Zileuton
,1848634,ED50,"In a similar ex vivo study in the rat, the compound displayed an p.o. ED50 of 2 mg/kg.",5-lipoxygenase inhibitory activity of zileuton. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1848634/),[mg] / [kg],2,38809,DB00744,Zileuton
,1848634,ED50,Zileuton was highly effective in preventing 6-sulfidopeptide LT formation in the rat peritoneal cavity triggered by an antigen-antibody reaction with an ED50 of 3 mg/kg.,5-lipoxygenase inhibitory activity of zileuton. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1848634/),[mg] / [kg],3,38810,DB00744,Zileuton
,1848634,ED50,"In experimental models of inflammation, zileuton significantly reduced arachidonic-acid induced mouse ear edema (ED50 = 31 mg/kg) and also attenuated inflammatory cell accumulation in the rat pleural Arthus reaction.",5-lipoxygenase inhibitory activity of zileuton. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/1848634/),[mg] / [kg],31,38811,DB00744,Zileuton
,8620677,time to reach the maximum plasma concentration,"Although the mean time to reach the maximum plasma concentration for digoxin was significantly shorter after concomitant administration of digoxin and zileuton than after concomitant administration of digoxin and placebo (0.95 vs 1.43 hours), there were no significant differences between the 2 regimens in the values for maximum plasma concentration, area under the plasma concentration-time curve from 0 to 24 hours, elimination half-life, oral clearance, and apparent volume of distribution associated with the terminal phase.",Assessment of the pharmacokinetic interaction between zileuton and digoxin in humans. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8620677/),h,0.95,40175,DB00744,Zileuton
,8620677,time to reach the maximum plasma concentration,"Although the mean time to reach the maximum plasma concentration for digoxin was significantly shorter after concomitant administration of digoxin and zileuton than after concomitant administration of digoxin and placebo (0.95 vs 1.43 hours), there were no significant differences between the 2 regimens in the values for maximum plasma concentration, area under the plasma concentration-time curve from 0 to 24 hours, elimination half-life, oral clearance, and apparent volume of distribution associated with the terminal phase.",Assessment of the pharmacokinetic interaction between zileuton and digoxin in humans. ,tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/8620677/),h,1.43,40176,DB00744,Zileuton
