Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,6228368,retention times,"A good separation of zimelidine and norzimelidine was obtained following derivatisation of norzimelidine with heptafluorobutyric anhydride, the retention times being 6.16 and 10.35 minutes, respectively.",Pharmacokinetic study of zimelidine using a new GLC method. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6228368/),min,6.16,10294,DB04832,Zimelidine
,6228368,retention times,"A good separation of zimelidine and norzimelidine was obtained following derivatisation of norzimelidine with heptafluorobutyric anhydride, the retention times being 6.16 and 10.35 minutes, respectively.",Pharmacokinetic study of zimelidine using a new GLC method. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6228368/),min,10.35,10295,DB04832,Zimelidine
,6228368,sensitivity,The sensitivity of the method is 5 ng/ml for zimelidine and norzimelidine.,Pharmacokinetic study of zimelidine using a new GLC method. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6228368/),[ng] / [ml],5,10296,DB04832,Zimelidine
,6228368,peak plasma concentration,"Zimelidine was rapidly absorbed, giving a mean peak plasma concentration of 103.9 +/- 34.8 ng/ml.",Pharmacokinetic study of zimelidine using a new GLC method. ,Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6228368/),[ng] / [ml],103.9,10297,DB04832,Zimelidine
,6228368,plasma elimination half-life,The mean plasma elimination half-life was 8.4 +/- 2.0 hours for zimelidine and 19.4 +/- 3.6 hours for norzimelidine.,Pharmacokinetic study of zimelidine using a new GLC method. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6228368/),h,8.4,10298,DB04832,Zimelidine
,6228368,plasma elimination half-life,The mean plasma elimination half-life was 8.4 +/- 2.0 hours for zimelidine and 19.4 +/- 3.6 hours for norzimelidine.,Pharmacokinetic study of zimelidine using a new GLC method. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6228368/),h,19.4,10299,DB04832,Zimelidine
,6452803,elimination half-lives,"The mean elimination half-lives of zimelidine and norzimelidine were found to be 15 h and 35 h, respectively, which were longer than the half-lives earlier obtained in younger patients.",Zimelidine to geriatric patients: a pharmacokinetic and clinical study. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6452803/),h,15,76169,DB04832,Zimelidine
,6452803,elimination half-lives,"The mean elimination half-lives of zimelidine and norzimelidine were found to be 15 h and 35 h, respectively, which were longer than the half-lives earlier obtained in younger patients.",Zimelidine to geriatric patients: a pharmacokinetic and clinical study. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6452803/),h,35,76170,DB04832,Zimelidine
,6455297,terminal phase half-life,There was no significant difference in terminal phase half-life of zimelidine after oral (4.7 h +/- 1.3 SD) or intravenous dosing (5.1 h +/- 0.7 SD).,Pharmacokinetics of zimelidine in humans--plasma levels and urinary excretion of zimelidine and norzimelidine after intravenous and oral administration of zimelidine. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6455297/),h,4.7,100513,DB04832,Zimelidine
,6455297,terminal phase half-life,There was no significant difference in terminal phase half-life of zimelidine after oral (4.7 h +/- 1.3 SD) or intravenous dosing (5.1 h +/- 0.7 SD).,Pharmacokinetics of zimelidine in humans--plasma levels and urinary excretion of zimelidine and norzimelidine after intravenous and oral administration of zimelidine. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/6455297/),h,5.1,100514,DB04832,Zimelidine
,6455297,bioavailability,"It appears that zimelidine is completely absorbed from the gastrointestinal tract and ""first-pass metabolism"" in the liver reduces the bioavailability to 50%.",Pharmacokinetics of zimelidine in humans--plasma levels and urinary excretion of zimelidine and norzimelidine after intravenous and oral administration of zimelidine. ,F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6455297/),%,50,100515,DB04832,Zimelidine
,6455297,plasma half-life,The mean plasma half-life for norzimelidine was 22.8 h.,Pharmacokinetics of zimelidine in humans--plasma levels and urinary excretion of zimelidine and norzimelidine after intravenous and oral administration of zimelidine. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/6455297/),h,22.8,100516,DB04832,Zimelidine
