Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,26004712,distribution half-life (T(1/2a)),"Kinetics of blood clearance showed that the distribution half-life (T(1/2a)) and elimination half-life (T(1/2 β)) of (99m)Tc-HBIDP are 2.73 and 24.87 min, respectively.",Pharmacokinetic and imaging evaluation of (99m)Tc-HBIDP as a potential bone imaging agent. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/26004712/),min,2.73,18080,DB00399,Zoledronate
,26004712,elimination half-life (T(1/2 β)),"Kinetics of blood clearance showed that the distribution half-life (T(1/2a)) and elimination half-life (T(1/2 β)) of (99m)Tc-HBIDP are 2.73 and 24.87 min, respectively.",Pharmacokinetic and imaging evaluation of (99m)Tc-HBIDP as a potential bone imaging agent. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/26004712/),min,24.87,18081,DB00399,Zoledronate
,24968029,maximal loading,"Human and murine RBCs have been successfully loaded with Zoledronate by a procedure of hypotonic dialysis and isotonic resealing, obtaining a dose-dependent drug entrapment with a maximal loading of 7.96±2.03, 6.95±3.9 and 7.0±1.89 µmoles of Zoledronate/ml of packed RBCs for human, Swiss and Balb/C murine RBCs, respectively.",Macrophage depletion by free bisphosphonates and zoledronate-loaded red blood cells. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24968029/),µmoles,7.96,66692,DB00399,Zoledronate
,24968029,maximal loading,"Human and murine RBCs have been successfully loaded with Zoledronate by a procedure of hypotonic dialysis and isotonic resealing, obtaining a dose-dependent drug entrapment with a maximal loading of 7.96±2.03, 6.95±3.9 and 7.0±1.89 µmoles of Zoledronate/ml of packed RBCs for human, Swiss and Balb/C murine RBCs, respectively.",Macrophage depletion by free bisphosphonates and zoledronate-loaded red blood cells. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24968029/),µmoles,6.95,66693,DB00399,Zoledronate
,24968029,maximal loading,"Human and murine RBCs have been successfully loaded with Zoledronate by a procedure of hypotonic dialysis and isotonic resealing, obtaining a dose-dependent drug entrapment with a maximal loading of 7.96±2.03, 6.95±3.9 and 7.0±1.89 µmoles of Zoledronate/ml of packed RBCs for human, Swiss and Balb/C murine RBCs, respectively.",Macrophage depletion by free bisphosphonates and zoledronate-loaded red blood cells. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/24968029/),µmoles,7.0,66694,DB00399,Zoledronate
,28626914,maximum concentration in bone (Cmax ),"To further evaluate the bone uptake efficiency, the pharmacokinetics of 99m Tc-EMIHPBP was investigated and showed that maximum concentration in bone (Cmax ) was 31.60 ± 0.15%ID/gram after 60 minutes (tmax ).","Synthesis, preclinical, and pharmacokinetic evaluation of a new zoledronate derivative as a promising antiosteoporotic candidate using radiolabeling technique. ",Cmax-Q32,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28626914/),[%id] / [gram],31.60,78508,DB00399,Zoledronate
,28626914,tmax,"To further evaluate the bone uptake efficiency, the pharmacokinetics of 99m Tc-EMIHPBP was investigated and showed that maximum concentration in bone (Cmax ) was 31.60 ± 0.15%ID/gram after 60 minutes (tmax ).","Synthesis, preclinical, and pharmacokinetic evaluation of a new zoledronate derivative as a promising antiosteoporotic candidate using radiolabeling technique. ",tmax-Q56,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28626914/),min,60,78509,DB00399,Zoledronate
,28626914,AUC (0-∞),"Cumulative residence of 99m Tc-EMIHPBP in the bone [AUC (0-∞) (%ID∙min/gram bone)] was 3685.23, mean residence time was 384.354 minutes, and the calculated bone bioavailability was 15.831%.","Synthesis, preclinical, and pharmacokinetic evaluation of a new zoledronate derivative as a promising antiosteoporotic candidate using radiolabeling technique. ",AUCinf-Q17,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28626914/),[%id∙min] / [bone·gram],3685.23,78510,DB00399,Zoledronate
,28626914,mean residence time,"Cumulative residence of 99m Tc-EMIHPBP in the bone [AUC (0-∞) (%ID∙min/gram bone)] was 3685.23, mean residence time was 384.354 minutes, and the calculated bone bioavailability was 15.831%.","Synthesis, preclinical, and pharmacokinetic evaluation of a new zoledronate derivative as a promising antiosteoporotic candidate using radiolabeling technique. ",MRT-Q53,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28626914/),min,384.354,78511,DB00399,Zoledronate
,28626914,bone bioavailability,"Cumulative residence of 99m Tc-EMIHPBP in the bone [AUC (0-∞) (%ID∙min/gram bone)] was 3685.23, mean residence time was 384.354 minutes, and the calculated bone bioavailability was 15.831%.","Synthesis, preclinical, and pharmacokinetic evaluation of a new zoledronate derivative as a promising antiosteoporotic candidate using radiolabeling technique. ",F-Q40,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28626914/),%,15.831,78512,DB00399,Zoledronate
,28626914,bone/blood ratio,Excellent bone uptake can be obtained 1-hour postinjection with high bone/blood ratio of 23.76 detected with gamma counter.,"Synthesis, preclinical, and pharmacokinetic evaluation of a new zoledronate derivative as a promising antiosteoporotic candidate using radiolabeling technique. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28626914/),,23.76,78513,DB00399,Zoledronate
,18625688,terminal half-lives,"Concentrations of radioactivity showed a rapid decline in plasma and noncalcified tissue but only a slow decline in bone, to approximately 50% of peak at 240 days post dose, whereas the terminal half-lives (50-200 days) were similar in bone and noncalcified tissues, suggesting redistribution of drug from the former rather than prolonged retention in the latter.",Biodistribution and plasma protein binding of zoledronic acid. ,"t1/2,β-Q60",[Article Link](https://pubmed.ncbi.nlm.nih.gov/18625688/),d,50-200,92993,DB00399,Zoledronate
,18625688,fraction of dose excreted,"At 96 h after dose, the fraction of dose excreted was 36% in rat and 60% in dog; 94 to 96% of the excreted radioactivity was found in urine.",Biodistribution and plasma protein binding of zoledronic acid. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18625688/),%,36,92994,DB00399,Zoledronate
,18625688,fraction of dose excreted,"At 96 h after dose, the fraction of dose excreted was 36% in rat and 60% in dog; 94 to 96% of the excreted radioactivity was found in urine.",Biodistribution and plasma protein binding of zoledronic acid. ,fe-Q44,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18625688/),%,60,92995,DB00399,Zoledronate
,18625688,Blood/plasma concentration ratios,"Blood/plasma concentration ratios were 0.52 to 0.59, and plasma protein binding of zoledronic acid was moderate to low in all species.",Biodistribution and plasma protein binding of zoledronic acid. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/18625688/),,0.52 to 0.59,92996,DB00399,Zoledronate
