Compare,PMID,Parameter,Sentece,Title,Type,URL,Units,Value,id,Drugbank_id,Name
,32306807,T1/2,"Following iv administration of DXd, it was rapidly cleared from the circulation (T1/2; 1.35 h) and excreted mainly through faeces as its intact form.","Pharmacokinetics of trastuzumab deruxtecan (T-DXd), a novel anti-HER2 antibody-drug conjugate, in HER2-positive tumour-bearing mice. ",t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/32306807/),h,1.35,14298,DB05773,ado-trastuzumab emtansine
,34349115,PFS,"After a median follow-up of 12.4 months, the median PFS was 10.4 months (95% confidence interval, 2.7-19.3).",Phase 1b clinical trial of ado-trastuzumab emtansine and ribociclib for HER2-positive metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/34349115/),month,10.4,54900,DB05773,ado-trastuzumab emtansine
,28388844,drug-to-antibody ratio (DAR),The two approved ADCs (and most ADCs now in the clinic that use a microtubule disrupting agent as the payload) are heterogeneous conjugates with an average drug-to-antibody ratio (DAR) of 3-4 (potentially ranging from 0 to 8 for individual species).,"Effects of Drug-Antibody Ratio on Pharmacokinetics, Biodistribution, Efficacy, and Tolerability of Antibody-Maytansinoid Conjugates. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28388844/),,3-4,55177,DB05773,ado-trastuzumab emtansine
,28388844,drug-to-antibody ratio (DAR),The two approved ADCs (and most ADCs now in the clinic that use a microtubule disrupting agent as the payload) are heterogeneous conjugates with an average drug-to-antibody ratio (DAR) of 3-4 (potentially ranging from 0 to 8 for individual species).,"Effects of Drug-Antibody Ratio on Pharmacokinetics, Biodistribution, Efficacy, and Tolerability of Antibody-Maytansinoid Conjugates. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28388844/),,0 to 8,55178,DB05773,ado-trastuzumab emtansine
,28764748,overall response rate,The overall response rate was 22% (2/9 patients had partial response) and stable disease was seen in 56% (5/9 patients).,A phase I trial of ganetespib in combination with paclitaxel and trastuzumab in patients with human epidermal growth factor receptor-2 (HER2)-positive metastatic breast cancer. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28764748/),%,22,81098,DB05773,ado-trastuzumab emtansine
,28764748,progression-free survival,The median progression-free survival was 20 weeks (range 8-55).,A phase I trial of ganetespib in combination with paclitaxel and trastuzumab in patients with human epidermal growth factor receptor-2 (HER2)-positive metastatic breast cancer. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/28764748/),weeks,20,81099,DB05773,ado-trastuzumab emtansine
,27052654,MTD,"Administered with T-DM1 (3.6 mg/kg), the docetaxel MTD was 60 mg/m(2) in MBC.",Trastuzumab emtansine (T-DM1) plus docetaxel with or without pertuzumab in patients with HER2-positive locally advanced or metastatic breast cancer: results from a phase Ib/IIa study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27052654/),,60,90200,DB05773,ado-trastuzumab emtansine
,27052654,objective response rate,"In MBC (median prior systemic agents = 5), the objective response rate was 80.0% (20/25; 95% confidence interval [CI] 59.3-93.2) and the median progression-free survival was 13.8 months (range, 1.6-33.5).",Trastuzumab emtansine (T-DM1) plus docetaxel with or without pertuzumab in patients with HER2-positive locally advanced or metastatic breast cancer: results from a phase Ib/IIa study. ,NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27052654/),%,80,90201,DB05773,ado-trastuzumab emtansine
,27052654,progression-free survival,"In MBC (median prior systemic agents = 5), the objective response rate was 80.0% (20/25; 95% confidence interval [CI] 59.3-93.2) and the median progression-free survival was 13.8 months (range, 1.6-33.5).",Trastuzumab emtansine (T-DM1) plus docetaxel with or without pertuzumab in patients with HER2-positive locally advanced or metastatic breast cancer: results from a phase Ib/IIa study. ,t1/2-Q57,[Article Link](https://pubmed.ncbi.nlm.nih.gov/27052654/),month,13.8,90202,DB05773,ado-trastuzumab emtansine
,23852665,maximum tolerated dose,First-in-man phase I study set the maximum tolerated dose at 3.6 mg/kg given intravenously on a 3-weekly regimen.,"The success story of trastuzumab emtansine, a targeted therapy in HER2-positive breast cancer. ",NIL-Q100,[Article Link](https://pubmed.ncbi.nlm.nih.gov/23852665/),,3,110307,DB05773,ado-trastuzumab emtansine
